period,cost,mode,name,completed_cycles,actual_cycle_net_profit_cny
evaluation,BASE,1,趋势基础策略,27,-10932.33414000002
evaluation,BASE,2,日内强弱学习退出基础策略,21,54294.38984000031
evaluation,STRESS,1,趋势基础策略,27,-18061.76271999968
evaluation,STRESS,2,日内强弱学习退出基础策略,21,45637.94823999988
earlier_diagnostic,BASE,1,趋势基础策略,18,5906.778539999825
earlier_diagnostic,BASE,2,日内强弱学习退出基础策略,8,113905.32991999999
earlier_diagnostic,STRESS,1,趋势基础策略,18,-1708.428039999766
earlier_diagnostic,STRESS,2,日内强弱学习退出基础策略,8,109438.0184
