cost,scope,days,actual_return,fills,mean_exposure,causal_regime_effect
BASE,BEFORE_20260706,1574,1.008133516900001,113,0.17723631723343675,NOT_IDENTIFIED
BASE,SINCE_20260706,50,-0.0023341011743261975,7,0.18099899384651652,NOT_IDENTIFIED
STRESS,BEFORE_20260706,1574,0.9405180718000001,113,0.17692955571366714,NOT_IDENTIFIED
STRESS,SINCE_20260706,50,-0.0042545145649388605,7,0.180983307578371,NOT_IDENTIFIED
