days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,period,cost,cycles,top1_fraction,top5_fraction
1624,400689.26602000016,200689.26602000016,0.10909651067308168,1.2847775260589454,0.08322800128793671,-0.06404028297935171,120,3056.23398,9195.499999999796,0.17735216318827293,8.469669410260394e-11,main,BASE,43,0.4035786834355574,0.8235784475066461
1624,386452.42188,186452.42187999998,0.1031334840776672,1.2204943134726585,0.08319068279665304,-0.06508596549013435,120,5821.1781200000005,15983.500000000018,0.17705436334496963,7.702283255639486e-11,main,STRESS,43,0.42299748710563634,0.8548449516122745
1219,336497.94003999984,136497.94003999984,0.10880924148940152,1.2287047720158415,0.08716569677089439,-0.058576410519798894,66,1726.65996,4962.700000000081,0.278449425716574,7.912603905424476e-11,earlier,BASE,24,0.3077005696034096,0.8571294966481905
1219,338798.6572400004,138798.65724000038,0.11031017905231977,1.239529799296327,0.08752079128560766,-0.059754186269904364,66,3333.94276,9326.099999999984,0.2806495157032941,7.457856554538012e-11,earlier,STRESS,24,0.2997225058745813,0.8932892212754643
