origin,execution_date,origin_index,simulation_only,requested_quantity,reference_weight,action,output_candidate,budget_source,used_band,exposure_multiplier,filter_direction,return_threshold,observed_daily_return,addition_allowed,normal_requested_quantity,addition_suppressed,own_close_equity,own_close_shares,signal_state,decision_time,source_model,source_cost,node,cost,used_zero_count,waiting_zero_confirmation,exit_policy,entry_mode,exit_reasons,entry_rearmed,learning_cycle_id,learning_status,continuation_prediction,learning_fit_origin,model_selection_index,model_selection_origin,fixed_prediction_identity,negative_confirmation_count,learned_exit_requested,log_holding_days,cycle_return,cycle_drawdown,mom5,mom20,sma120,vol20
2020-06-29,2020-06-30,1967,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.008645533141210304,0.0,0.0,0.0,209214.54752,0.0,MODEL_VIEW_AVAILABLE,2020-06-29 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,2020-07-01,1968,True,33100,0.6619719938381442,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.012112403100775104,1.0,33100.0,0.0,209214.54752,0.0,MODEL_VIEW_AVAILABLE,2020-06-30 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,2020-07-02,1969,True,16500,1.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.022498803255146083,1.0,16500.0,0.0,211901.00972,33100.0,MODEL_VIEW_AVAILABLE,2020-07-01 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,2020-07-03,1970,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.02294007490636707,1.0,0.0,0.0,216721.59428,49500.0,MODEL_VIEW_AVAILABLE,2020-07-02 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-03,2020-07-06,1971,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.01990846681922198,1.0,0.0,0.0,221028.09428,49500.0,MODEL_VIEW_AVAILABLE,2020-07-03 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,2020-07-07,1972,True,0,1.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.07336773614538927,1.0,0.0,0.0,237214.59428,49500.0,MODEL_VIEW_AVAILABLE,2020-07-06 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-07,2020-07-08,1973,True,-49500,0.0,调整到中文方案所定仓位,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.010033444816053505,0.0,-49500.0,0.0,234838.59428,49500.0,MODEL_VIEW_AVAILABLE,2020-07-07 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,2020-07-09,1974,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.013091216216216228,1.0,0.0,0.0,234544.25738,0.0,MODEL_VIEW_AVAILABLE,2020-07-08 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,2020-07-10,1975,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,0.01542309295539801,1.0,0.0,0.0,234544.25738,0.0,MODEL_VIEW_AVAILABLE,2020-07-09 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,2020-12-14,2080,True,0,0.0,维持当前份额,ADD_GATE_EXPOSURE_115,INTENT_MIX_BAND_20,0.2,1.15,LOWER,0.01,-0.011177644710578805,0.0,0.0,0.0,231727.5653,0.0,MODEL_VIEW_AVAILABLE,2020-12-11 15:05:00,ADD_GATE_EXPOSURE_115,BASE,ADD_GATE_EXPOSURE_115,BASE,,,,,,,,,,,,,,,,,,,,,,
