entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,period,cost
2020-01-02,0,200000.0,2020-01-22,14,15,-1341.9996399999945,-0.006709998199999956,198658.00036,-0.02447898491608358,76.59964000000001,279.6000000000106,main,BASE
2020-02-05,18,198658.00036,2020-03-03,37,20,10493.15399999998,0.05282019340265531,209151.15436,-0.009817633986462515,58.44600000000001,186.00000000001256,main,BASE
2020-03-23,51,209151.15436,2020-04-07,61,11,270.79999999998836,0.001294757376925082,209421.95435999997,-0.0002483767690197869,10.0,5.200000000000005,main,BASE
2020-07-01,117,209421.95435999997,2020-07-08,122,6,23903.000640000013,0.11413798860319257,233324.955,-0.01063673649729835,83.19936,279.0000000000106,main,BASE
2020-08-19,152,233324.955,2020-10-09,183,32,-2724.341519999987,-0.011676168629283556,230600.61348,-0.021242453976664688,33.941520000000004,106.20000000000402,main,BASE
2020-12-15,230,230600.61348,2021-01-20,255,26,24250.121399999945,0.10516069768436753,254850.73487999995,-0.019445095273407875,92.4786,264.00000000001,main,BASE
2021-02-03,265,254850.73487999995,2021-02-19,272,8,2111.9545799999905,0.008287025662274239,256962.68945999994,-0.0023356727529567634,19.54542,52.20000000000198,main,BASE
2021-03-11,286,256962.68945999994,2021-03-25,296,11,-146.40000000002328,-0.0005697325176183821,256816.2894599999,-0.0010420710840396419,10.0,6.599999999999273,main,BASE
2021-06-08,345,256816.2894599999,2021-07-22,376,32,-2543.9151400000264,-0.009905583268682183,254272.3743199999,-0.010341692676833492,91.81514,247.20000000000937,main,BASE
2021-07-29,381,254272.3743199999,2021-08-12,391,11,8222.165480000025,0.03233605499609826,262494.5397999999,-0.009118385534689799,103.23452,310.79999999997267,main,BASE
2021-10-29,440,262494.5397999999,2021-12-14,472,33,5355.366700000013,0.02040182132580881,267849.9064999999,-0.011419695350017633,128.13330000000002,380.999999999974,main,BASE
2022-01-10,490,267849.9064999999,2022-01-24,500,11,-80.79999999998836,-0.0003016614829394193,267769.10649999994,-0.0005599553393060841,10.0,7.200000000000273,main,BASE
2022-01-27,503,267769.10649999994,2022-02-17,513,11,-132.20000000001164,-0.0004937089335210754,267636.9064999999,-0.0007420572245887547,10.0,7.800000000000296,main,BASE
2022-03-11,529,267636.9064999999,2022-03-16,532,4,-308.5,-0.001152681085857643,267328.4064999999,-0.0018991355017550227,10.0,9.000000000000341,main,BASE
2022-04-25,558,267328.4064999999,2022-05-12,568,11,-0.40000000002328306,-1.4962869275825241e-06,267328.0064999999,-0.0010002678110454521,10.0,6.400000000000006,main,BASE
2022-05-13,569,267328.0064999999,2022-06-13,589,21,4185.268740000087,0.015655930685287478,271513.27524,-0.008631744858813462,181.43126,643.2999999999793,main,BASE
2022-08-05,628,271513.27524,2022-09-05,649,22,-5302.149139999994,-0.01952813959211841,266211.1261,-0.027562762083873094,100.34914000000002,344.40000000001305,main,BASE
2022-09-21,660,266211.1261,2022-10-12,670,11,-325.20000000001164,-0.001221586808801689,265885.9261,-0.001221586808801689,10.0,6.400000000000006,main,BASE
2022-10-27,681,265885.9261,2022-11-07,688,8,97.20000000001164,0.00036557030838646476,265983.1261,-0.0010779058681438247,10.0,6.400000000000006,main,BASE
2023-01-10,733,265983.1261,2023-01-19,740,8,-313.53648000000976,-0.001178783348392276,265669.58962,-0.005173183452353958,89.33648000000001,324.6000000000123,main,BASE
2023-03-30,785,265669.58962,2023-04-14,795,11,1798.4985400000587,0.00676968162811753,267468.08816000004,-0.010408245946862849,104.60146000000002,377.6999999999632,main,BASE
2023-05-29,823,267468.08816000004,2023-06-12,833,11,-45.20000000001164,-0.00016899212280219178,267422.88816000003,-0.00040154322984420343,10.0,6.399999999999295,main,BASE
2023-08-23,883,267422.88816000003,2023-09-05,892,10,143.59999999997672,0.000536977223557944,267566.48816,-0.00028195043632506245,10.0,6.400000000000716,main,BASE
2023-10-18,917,267566.48816,2023-11-01,927,11,-46.79999999998836,-0.00017490979652134975,267519.68816,-0.0009575190142900869,10.0,6.400000000000716,main,BASE
2023-11-29,947,267519.68816,2023-12-13,957,11,-193.59999999997672,-0.0007236850541040285,267326.08816000004,-0.0008702163253896389,10.0,6.800000000000761,main,BASE
2024-02-19,998,267326.08816000004,2024-02-26,1003,6,3736.355639999965,0.013976771461839732,271062.4438,-0.0012126592772440103,96.64436000000002,280.3999999999876,main,BASE
2024-03-05,1009,271062.4438,2024-05-27,1063,55,6055.64160000009,0.022340393287637372,277118.0854000001,-0.03264176891732251,101.95840000000001,286.3999999999685,main,BASE
2024-06-04,1069,277118.0854000001,2024-07-19,1101,33,3936.795460000052,0.014206201859101153,281054.88086000015,-0.0022719550400163158,64.90454,174.00000000000017,main,BASE
2024-08-02,1111,281054.88086000015,2024-08-07,1114,4,-4370.872380000015,-0.015551668651423434,276684.00848000014,-0.015551668651423434,93.17238,271.60000000000025,main,BASE
2024-08-28,1129,276684.00848000014,2024-09-20,1144,16,-9557.808160000015,-0.03454412928490913,267126.2003200001,-0.03964855705586057,101.00816,293.99999999999943,main,BASE
2024-09-25,1147,267126.2003200001,2024-10-08,1151,5,80993.90976000001,0.30320466379926225,348120.11008000013,-0.004624534615175091,113.69024000000002,348.9999999999616,main,BASE
2024-10-09,1152,348120.11008000013,2024-10-23,1162,11,-7200.952500000014,-0.020685252852370994,340919.1575800001,-0.03486423578692677,47.4525,171.00000000000648,main,BASE
2025-01-08,1216,340919.1575800001,2025-01-22,1226,11,74.0,0.00021706025711565324,340993.1575800001,-0.00039012181346476105,10.0,7.999999999999119,main,BASE
2025-04-09,1274,340993.1575800001,2025-04-24,1285,12,14424.20504000003,0.04230057031750256,355417.36262000015,-0.0006065105457917497,138.99496,365.60000000003487,main,BASE
2025-06-03,1309,355417.36262000015,2025-07-30,1350,42,21712.11730000004,0.06108907325164603,377129.4799200002,-0.0075039624394399596,146.58270000000002,461.70000000001505,main,BASE
2025-09-05,1377,377129.4799200002,2025-09-16,1384,8,13777.922759999987,0.0365336668003855,390907.4026800002,-0.007840984589335354,143.67724000000004,474.5999999999477,main,BASE
2025-11-26,1429,390907.4026800002,2025-12-08,1437,9,189.5,0.0004847695354470716,391096.9026800002,-0.00020405971291792557,10.0,11.400000000000432,main,BASE
2025-12-19,1446,391096.9026800002,2026-02-10,1481,36,10679.109940000053,0.02730553442592165,401776.0126200002,-0.02370424693453277,136.39006,433.7999999999729,main,BASE
2026-03-25,1506,401776.0126200002,2026-04-09,1516,11,109.70000000001164,0.00027303770398012794,401885.71262000024,-0.0005121490914746785,10.0,12.600000000000477,main,BASE
2026-05-06,1532,401885.71262000024,2026-05-19,1541,10,-2351.576800000039,-0.005851357055391415,399534.1358200002,-0.03274482568721859,147.5768,456.0000000000173,main,BASE
2026-06-05,1554,399534.1358200002,2026-06-24,1566,13,2092.567559999996,0.005237518831038734,401626.7033800002,-0.03235491328786955,146.43244,445.79999999999717,main,BASE
2026-07-21,1585,401626.7033800002,2026-08-04,1595,11,-5391.645080000046,-0.013424518426252918,396235.05830000015,-0.016642459601644344,142.44508000000002,438.59999999995347,main,BASE
2026-08-07,1598,396235.05830000015,2026-08-21,1608,11,4454.207720000006,0.011241326648657068,400689.26602000016,-0.005288265782847801,122.19228000000001,383.9999999999577,main,BASE
2020-01-02,0,200000.0,2020-01-22,14,15,-1604.999279999989,-0.008024996399999984,198395.00072,-0.02514017171822036,153.19928000000002,465.99999999999005,main,STRESS
2020-02-05,18,198395.00072,2020-03-03,37,20,10259.821599999996,0.05171411357527078,208654.82232,-0.009839663963804313,116.57840000000002,333.90000000001265,main,STRESS
