date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after,node,cost,cycle_id,mode,execution_reasons
2020-06-29,4.15,4.128,CLOSE,209214.54752,0,0.0,209214.54752,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2020-06-24,False,0.0,0,0,4.15,,0.0,0.0,0.0,NO_TRADE,209214.54752,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-06-30,4.148,4.178,CLOSE,209214.54752,0,0.0,209214.54752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-29,False,0.0,0,0,4.148,,0.0,0.0,0.0,NO_TRADE,209214.54752,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-01,4.187,4.272,CLOSE,70497.80971999999,33100,0.0,211901.00972,0.012840704586965623,2686.462200000009,2813.4999999999986,0.0,0.0,0.6673078159790092,1.4154011296341196e-11,2020-06-30,False,0.6629032332789475,33100,33100,4.187,4.19,27.7378,99.30000000000376,138689.0,FILLED,209214.54752,0,70497.80971999999,33100.0,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-02,4.27,4.37,CLOSE,406.59427999999025,49500,0.0,216721.59428,0.02274922883269781,4820.584559999988,4883.800000000005,0.0,0.0,0.9981238866327521,-1.4452439245360438e-11,2020-07-01,False,0.33081059761909276,16500,16400,4.27,4.273,14.01544,49.200000000001864,70077.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,70497.80971999999,33100,406.59427999999025,49500.0,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-03,4.386,4.457,CLOSE,406.59427999999025,49500,0.0,221028.09428,0.019871116278501022,4306.5,4306.499999999987,0.0,0.0,0.9981604407289287,1.2732925824820995e-11,2020-07-02,False,0.0,0,0,4.386,,0.0,0.0,0.0,NO_TRADE,406.59427999999025,49500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-06,4.527,4.784,CLOSE,406.59427999999025,49500,0.0,237214.59428,0.07323277184616561,16186.5,16186.499999999998,0.0,0.0,0.9982859643133084,1.8189894035458565e-12,2020-07-03,False,0.0,0,0,4.527,,0.0,0.0,0.0,NO_TRADE,406.59427999999025,49500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-07,4.821,4.736,CLOSE,406.59427999999025,49500,0.0,234838.59428,-0.010016247133578293,-2376.0,-2376.000000000002,0.0,0.0,0.99826862240746,1.8189894035458565e-12,2020-07-06,False,0.0,0,0,4.821,,0.0,0.0,0.0,NO_TRADE,406.59427999999025,49500,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-08,4.734,4.798,CLOSE,234544.25738,0,0.0,234544.25738,-0.0012533582944592725,-294.3368999999948,-98.9999999999891,0.0,0.0,0.0,-5.684341886080802e-14,2020-07-07,False,0.9976352763081892,-49500,-49500,4.734,4.731,46.8369,148.50000000000563,234184.5,FILLED,406.59427999999025,49500,234544.25738,0.0,ADD_GATE_EXPOSURE_115,BASE,,,
2020-07-09,4.796,4.872,CLOSE,234544.25738,0,0.0,234544.25738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-08,False,0.0,0,0,4.796,,0.0,0.0,0.0,NO_TRADE,234544.25738,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-11,5.02,4.954,CLOSE,231727.5653,0,0.0,231727.5653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-10,False,0.0,0,0,5.02,,0.0,0.0,0.0,NO_TRADE,231727.5653,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-14,4.959,4.998,CLOSE,231727.5653,0,0.0,231727.5653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-11,False,0.0,0,0,4.959,,0.0,0.0,0.0,NO_TRADE,231727.5653,0,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-15,4.998,5.013,CLOSE,134.95603999996092,46300,0.0,232236.85603999996,0.0021977995554418595,509.2907399999676,694.4999999999852,0.0,0.0,0.9994188862082394,-1.233502189279534e-11,2020-12-14,False,0.9992177654835095,46300,46300,4.998,5.001,46.30926000000001,138.90000000000526,231546.30000000002,FILLED,231727.5653,0,134.95603999996092,46300.0,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-16,5.02,5.023,CLOSE,134.95603999996092,46300,0.0,232699.85603999996,0.0019936542713110406,463.0,462.9999999999901,0.0,0.0,0.9994200424430999,9.890754881780595e-12,2020-12-15,False,0.0,0,0,5.02,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-17,5.022,5.094,CLOSE,134.95603999996092,46300,0.0,235987.15603999997,0.014126781408214217,3287.3000000000175,3287.300000000029,0.0,0.0,0.9994281212492044,-1.1368683772161603e-11,2020-12-16,False,0.0,0,0,5.022,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-18,5.09,5.065,CLOSE,134.95603999996092,46300,0.0,234644.45604,-0.005689716434280845,-1342.6999999999825,-1342.699999999996,0.0,0.0,0.9994248488019808,1.3415046851150692e-11,2020-12-17,False,0.0,0,0,5.09,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-21,5.062,5.11,CLOSE,134.95603999996092,46300,0.0,236727.95604,0.008879391549079685,2083.5,2083.499999999997,0.0,0.0,0.9994299108467901,3.183231456205249e-12,2020-12-18,False,0.0,0,0,5.062,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-22,5.099,5.033,CLOSE,134.95603999996092,46300,0.0,233162.85603999998,-0.015059902766184519,-3565.100000000006,-3565.099999999998,0.0,0.0,0.9994211940860048,-7.73070496506989e-12,2020-12-21,False,0.0,0,0,5.099,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-23,5.04,5.074,CLOSE,134.95603999996092,46300,0.0,235061.15603999994,0.008141519761081906,1898.2999999999593,1898.299999999976,0.0,0.0,0.9994258683898543,-1.6825651982799172e-11,2020-12-22,False,0.0,0,0,5.04,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-24,5.074,5.074,CLOSE,134.95603999996092,46300,0.0,235061.15603999994,0.0,0.0,0.0,0.0,0.0,0.9994258683898543,0.0,2020-12-23,False,0.0,0,0,5.074,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-25,5.054,5.116,CLOSE,134.95603999996092,46300,0.0,237005.75603999995,0.008272740731646522,1944.6000000000058,1944.5999999999915,0.0,0.0,0.9994305790616445,1.432454155292362e-11,2020-12-24,False,0.0,0,0,5.054,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
2020-12-28,5.112,5.13,CLOSE,134.95603999996092,46300,0.0,237653.95603999996,0.0027349546729600327,648.2000000000116,648.2000000000108,0.0,0.0,0.9994321321544622,7.958078640513122e-13,2020-12-25,False,0.0,0,0,5.112,,0.0,0.0,0.0,NO_TRADE,134.95603999996092,46300,,,ADD_GATE_EXPOSURE_115,BASE,,,
