fit_origin,status,training_cycle_count,training_rows,latest_exit_date,kind
2015-05-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,within
2015-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,4,176,2015-05-12,within
2015-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2015-08-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2015-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2015-10-08,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2015-11-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2015-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,2015-06-23,within
2016-01-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,6,260,2015-12-29,within
2016-02-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-03-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-05-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,2016-01-12,within
2016-08-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,within
2016-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,within
2016-10-10,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,within
2016-11-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,2016-07-28,within
2016-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,within
2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,within
2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,2016-11-03,within
2017-03-01,FIT_COMPLETE,10,438,2017-02-08,within
2017-04-05,FIT_COMPLETE,10,438,2017-02-08,within
2017-05-02,FIT_COMPLETE,10,438,2017-02-08,within
2017-06-01,FIT_COMPLETE,11,497,2017-05-11,within
2017-07-03,FIT_COMPLETE,11,497,2017-05-11,within
2017-08-01,FIT_COMPLETE,11,497,2017-05-11,within
2017-09-01,FIT_COMPLETE,12,556,2017-08-14,within
2017-10-09,FIT_COMPLETE,12,556,2017-08-14,within
2017-11-01,FIT_COMPLETE,12,556,2017-08-14,within
2017-12-01,FIT_COMPLETE,13,615,2017-11-16,within
2018-01-02,FIT_COMPLETE,13,615,2017-11-16,within
2018-02-01,FIT_COMPLETE,13,615,2017-11-16,within
2018-03-01,FIT_COMPLETE,14,671,2018-02-09,within
2018-04-02,FIT_COMPLETE,14,671,2018-02-09,within
2018-05-02,FIT_COMPLETE,14,671,2018-02-09,within
2018-06-01,FIT_COMPLETE,14,671,2018-02-09,within
2018-07-02,FIT_COMPLETE,14,671,2018-02-09,within
2018-08-01,FIT_COMPLETE,14,671,2018-02-09,within
2018-09-03,FIT_COMPLETE,14,671,2018-02-09,within
2018-10-08,FIT_COMPLETE,14,671,2018-02-09,within
2018-11-01,FIT_COMPLETE,15,678,2018-10-19,within
2018-12-03,FIT_COMPLETE,15,678,2018-10-19,within
2019-01-02,FIT_COMPLETE,15,678,2018-10-19,within
2019-02-01,FIT_COMPLETE,15,678,2018-10-19,within
2019-03-01,FIT_COMPLETE,15,678,2018-10-19,within
2019-04-01,FIT_COMPLETE,15,678,2018-10-19,within
2019-05-06,FIT_COMPLETE,15,678,2018-10-19,within
2019-06-03,FIT_COMPLETE,16,721,2019-05-07,within
2019-07-01,FIT_COMPLETE,16,721,2019-05-07,within
2019-08-01,FIT_COMPLETE,17,759,2019-07-05,within
2019-09-02,FIT_COMPLETE,17,759,2019-07-05,within
2019-10-08,FIT_COMPLETE,17,759,2019-07-05,within
2019-11-01,FIT_COMPLETE,17,759,2019-07-05,within
2019-12-02,FIT_COMPLETE,17,759,2019-07-05,within
2020-01-02,FIT_COMPLETE,17,759,2019-07-05,within
2020-02-03,FIT_COMPLETE,17,759,2019-07-05,within
2020-03-02,FIT_COMPLETE,17,759,2019-07-05,within
2020-04-01,FIT_COMPLETE,18,787,2020-03-17,within
2020-05-06,FIT_COMPLETE,18,787,2020-03-17,within
2020-06-01,FIT_COMPLETE,19,829,2020-05-26,within
2020-07-01,FIT_COMPLETE,19,829,2020-05-26,within
2020-08-03,FIT_COMPLETE,19,829,2020-05-26,within
2020-09-01,FIT_COMPLETE,19,829,2020-05-26,within
2020-10-09,FIT_COMPLETE,20,888,2020-09-23,within
2020-11-02,FIT_COMPLETE,20,888,2020-09-23,within
2020-12-01,FIT_COMPLETE,20,888,2020-09-23,within
2021-01-04,FIT_COMPLETE,20,888,2020-09-23,within
2021-02-01,FIT_COMPLETE,20,888,2020-09-23,within
2021-03-01,FIT_COMPLETE,20,862,2021-03-01,within
2021-04-01,FIT_COMPLETE,20,862,2021-03-01,within
2021-05-06,FIT_COMPLETE,20,862,2021-03-01,within
2021-06-01,FIT_COMPLETE,20,862,2021-03-01,within
2021-07-01,FIT_COMPLETE,20,862,2021-03-01,within
2021-08-02,FIT_COMPLETE,20,844,2021-07-28,within
2021-09-01,FIT_COMPLETE,20,844,2021-07-28,within
2021-10-08,FIT_COMPLETE,20,844,2021-07-28,within
2021-11-01,FIT_COMPLETE,20,844,2021-07-28,within
2021-12-01,FIT_COMPLETE,20,844,2021-07-28,within
2022-01-04,FIT_COMPLETE,20,844,2021-07-28,within
2022-02-07,FIT_COMPLETE,20,892,2022-01-17,within
2022-03-01,FIT_COMPLETE,20,892,2022-01-17,within
2022-04-01,FIT_COMPLETE,20,892,2022-01-17,within
2022-05-05,FIT_COMPLETE,20,892,2022-01-17,within
2022-06-01,FIT_COMPLETE,20,892,2022-01-17,within
2022-07-01,FIT_COMPLETE,20,892,2022-01-17,within
2022-08-01,FIT_COMPLETE,20,892,2022-01-17,within
2022-09-01,FIT_COMPLETE,20,890,2022-08-04,within
2022-10-10,FIT_COMPLETE,20,885,2022-09-08,within
2022-11-01,FIT_COMPLETE,20,885,2022-09-08,within
2022-12-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-01-03,FIT_COMPLETE,20,885,2022-09-08,within
2023-02-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-03-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-04-03,FIT_COMPLETE,20,885,2022-09-08,within
2023-05-04,FIT_COMPLETE,20,885,2022-09-08,within
2023-06-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-07-03,FIT_COMPLETE,20,885,2022-09-08,within
2023-08-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-09-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-10-09,FIT_COMPLETE,20,885,2022-09-08,within
2023-11-01,FIT_COMPLETE,20,885,2022-09-08,within
2023-12-01,FIT_COMPLETE,20,885,2022-09-08,within
2024-01-02,FIT_COMPLETE,20,885,2022-09-08,within
2024-02-01,FIT_COMPLETE,20,885,2022-09-08,within
2024-03-01,FIT_COMPLETE,20,885,2022-09-08,within
2024-04-01,FIT_COMPLETE,20,885,2022-09-08,within
2024-05-06,FIT_COMPLETE,20,885,2022-09-08,within
2024-06-03,FIT_COMPLETE,20,885,2024-05-20,within
2024-07-01,FIT_COMPLETE,20,885,2024-05-20,within
2024-08-01,FIT_COMPLETE,20,915,2024-07-09,within
2024-09-02,FIT_COMPLETE,20,915,2024-07-09,within
2024-10-08,FIT_COMPLETE,20,896,2024-09-09,within
2024-11-01,FIT_COMPLETE,20,842,2024-10-10,within
2024-12-02,FIT_COMPLETE,20,842,2024-10-10,within
2025-01-02,FIT_COMPLETE,20,842,2024-10-10,within
2025-02-05,FIT_COMPLETE,20,842,2024-10-10,within
2025-03-03,FIT_COMPLETE,20,842,2024-10-10,within
2025-04-01,FIT_COMPLETE,20,842,2024-10-10,within
2025-05-06,FIT_COMPLETE,20,842,2024-10-10,within
2025-06-03,FIT_COMPLETE,20,842,2024-10-10,within
2025-07-01,FIT_COMPLETE,20,842,2024-10-10,within
2025-08-01,FIT_COMPLETE,20,842,2025-07-09,within
2025-09-01,FIT_COMPLETE,20,842,2025-07-09,within
2025-10-09,FIT_COMPLETE,20,842,2025-07-09,within
2025-11-03,FIT_COMPLETE,20,842,2025-10-14,within
