fit_origin,status,training_cycle_count,training_rows,latest_exit_date,kind
2021-05-06,FIT_COMPLETE,20,862,2021-03-01,ridge
2021-06-01,FIT_COMPLETE,20,862,2021-03-01,ridge
2021-07-01,FIT_COMPLETE,20,862,2021-03-01,ridge
2021-08-02,FIT_COMPLETE,20,844,2021-07-28,ridge
2021-09-01,FIT_COMPLETE,20,844,2021-07-28,ridge
2021-10-08,FIT_COMPLETE,20,844,2021-07-28,ridge
2021-11-01,FIT_COMPLETE,20,844,2021-07-28,ridge
2021-12-01,FIT_COMPLETE,20,844,2021-07-28,ridge
2022-01-04,FIT_COMPLETE,20,844,2021-07-28,ridge
2022-02-07,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-03-01,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-04-01,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-05-05,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-06-01,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-07-01,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-08-01,FIT_COMPLETE,20,892,2022-01-17,ridge
2022-09-01,FIT_COMPLETE,20,890,2022-08-04,ridge
2022-10-10,FIT_COMPLETE,20,885,2022-09-08,ridge
2022-11-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2022-12-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-01-03,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-02-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-03-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-04-03,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-05-04,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-06-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-07-03,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-08-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-09-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-10-09,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-11-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2023-12-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-01-02,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-02-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-03-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-04-01,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-05-06,FIT_COMPLETE,20,885,2022-09-08,ridge
2024-06-03,FIT_COMPLETE,20,885,2024-05-20,ridge
2024-07-01,FIT_COMPLETE,20,885,2024-05-20,ridge
2024-08-01,FIT_COMPLETE,20,915,2024-07-09,ridge
2024-09-02,FIT_COMPLETE,20,915,2024-07-09,ridge
2024-10-08,FIT_COMPLETE,20,896,2024-09-09,ridge
2024-11-01,FIT_COMPLETE,20,842,2024-10-10,ridge
2024-12-02,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-01-02,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-02-05,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-03-03,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-04-01,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-05-06,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-06-03,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-07-01,FIT_COMPLETE,20,842,2024-10-10,ridge
2025-08-01,FIT_COMPLETE,20,842,2025-07-09,ridge
2025-09-01,FIT_COMPLETE,20,842,2025-07-09,ridge
2025-10-09,FIT_COMPLETE,20,842,2025-07-09,ridge
2025-11-03,FIT_COMPLETE,20,842,2025-10-14,ridge
2025-12-01,FIT_COMPLETE,20,842,2025-10-14,ridge
2026-01-05,FIT_COMPLETE,20,842,2025-10-14,ridge
2026-02-02,FIT_COMPLETE,20,842,2026-01-13,ridge
2026-03-02,FIT_COMPLETE,20,795,2026-02-04,ridge
2026-04-01,FIT_COMPLETE,20,795,2026-02-04,ridge
2026-05-06,FIT_COMPLETE,20,795,2026-02-04,ridge
2026-06-01,FIT_COMPLETE,20,795,2026-02-04,ridge
2026-07-01,FIT_COMPLETE,20,795,2026-02-04,ridge
2026-08-03,FIT_COMPLETE,20,790,2026-07-20,ridge
2026-09-01,FIT_COMPLETE,20,790,2026-07-20,ridge
2014-12-31,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,2014-10-30,within
2015-01-05,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,2014-10-30,within
2015-02-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,2,111,2015-01-20,within
2015-03-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,within
2015-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,2015-02-03,within
