cost,entry,exit,scenario,quantity,raw_price,fill_price,fixed_quantity_exit_cash_delta,cycle_profit_if_only_exit_cash_changed,status
BASE,2024-09-25,2024-10-08,ORIGINAL_OPEN,69800,4.656,4.6530000000000005,0.0,80993.90976000001,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2024-09-25,2024-10-08,SAME_DAY_CLOSE,69800,4.412,4.409,-17027.79375999997,63966.11600000004,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2024-09-25,2024-10-08,NEXT_DAY_OPEN,69800,4.285,4.282,-25890.620840000047,55103.28891999996,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-12-15,2021-01-20,ORIGINAL_OPEN,28300,5.436,5.433,0.0,24250.121399999945,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-12-15,2021-01-20,SAME_DAY_CLOSE,28300,5.468,5.465,905.418880000012,25155.540279999957,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-12-15,2021-01-20,NEXT_DAY_OPEN,28300,5.483,5.48,1329.8339799999958,25579.95537999994,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-07-01,2020-07-08,ORIGINAL_OPEN,46500,4.734,4.731,0.0,23903.000640000013,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-07-01,2020-07-08,SAME_DAY_CLOSE,46500,4.798,4.795,2975.4048000000184,26878.40544000003,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2020-07-01,2020-07-08,NEXT_DAY_OPEN,46500,4.796,4.793,2882.4233999999997,26785.424040000013,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-06-03,2025-07-30,ORIGINAL_OPEN,75900,4.227,4.224,0.0,21712.11730000004,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-06-03,2025-07-30,SAME_DAY_CLOSE,75900,4.232,4.229,379.4241000000038,22091.541400000046,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-06-03,2025-07-30,NEXT_DAY_OPEN,75900,4.221,4.218,-455.3089200000395,21256.808380000002,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-04-09,2025-04-24,ORIGINAL_OPEN,77700,3.882,3.88,0.0,14424.20504000003,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-04-09,2025-04-24,SAME_DAY_CLOSE,77700,3.882,3.88,0.0,14424.20504000003,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
BASE,2025-04-09,2025-04-24,NEXT_DAY_OPEN,77700,3.887,3.8850000000000002,388.42229999997653,14812.627340000006,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2024-09-25,2024-10-08,ORIGINAL_OPEN,68300,4.656,4.651,0.0,78868.90591999993,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2024-09-25,2024-10-08,SAME_DAY_CLOSE,68300,4.412,4.407,-16658.533920000016,62210.371999999974,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2024-09-25,2024-10-08,NEXT_DAY_OPEN,68300,4.285,4.28,-25329.164279999968,53539.74164000002,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2020-12-15,2021-01-20,ORIGINAL_OPEN,28200,5.436,5.43,0.0,23824.903440000024,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
STRESS,2020-12-15,2021-01-20,SAME_DAY_CLOSE,28200,5.468,5.462,902.0390399999742,24726.942479999998,FIXED_QUANTITY_PRICE_SENSITIVITY_NOT_EXECUTION_EVIDENCE
