entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,cost
2024-09-25,1147,267126.2003200001,2024-10-08,1151,5,80993.90976000001,0.30320466379926225,348120.11008000013,-0.004624534615175091,113.69024000000002,348.9999999999616,BASE
2020-12-15,230,230600.61348,2021-01-20,255,26,24250.121399999945,0.10516069768436753,254850.73487999995,-0.019445095273407875,92.4786,264.00000000001,BASE
2020-07-01,117,209421.95435999997,2020-07-08,122,6,23903.000640000013,0.11413798860319257,233324.955,-0.01063673649729835,83.19936,279.0000000000106,BASE
2025-06-03,1309,355417.36262000015,2025-07-30,1350,42,21712.11730000004,0.06108907325164603,377129.4799200002,-0.0075039624394399596,146.58270000000002,461.70000000001505,BASE
2025-04-09,1274,340993.1575800001,2025-04-24,1285,12,14424.20504000003,0.04230057031750256,355417.36262000015,-0.0006065105457917497,138.99496,365.60000000003487,BASE
2024-09-25,1147,261189.44932000022,2024-10-08,1151,5,78868.90591999996,0.30196053525643185,340058.3552400002,-0.005333786504879812,222.49408,614.699999999993,STRESS
2020-12-15,230,229642.74108,2021-01-20,255,26,23824.903440000024,0.1037476879432484,253467.64452000003,-0.020157731174328397,184.09656,481.8000000000053,STRESS
2020-07-01,117,208920.42231999998,2020-07-08,122,6,23535.418280000013,0.11265254980171924,232455.8406,-0.011204568282537575,165.68172000000004,463.00000000000256,STRESS
2025-06-03,1309,346541.28788000013,2025-07-30,1350,42,19560.177280000004,0.05644400238615521,366101.46516000014,-0.00774084906751038,291.02272000000005,791.1999999999927,STRESS
2025-04-09,1274,332942.78124000016,2025-04-24,1285,12,13598.506639999978,0.0408433743160137,346541.28788000013,-0.001212757813575438,271.29336,713.6000000000316,STRESS
