cost,root_signal_origin,root_next_open_exit,root_reason,final_shares_at_signal_close,first_final_zero_close,extra_trading_days_until_final_zero,no_causal_claim_other_source_may_hold
BASE,2021-07-27,2021-07-28,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线,0,2021-07-28,0,True
BASE,2024-09-11,2024-09-12,持仓含分红收益触及固定止损,73500,2024-09-20,4,True
STRESS,2021-07-27,2021-07-28,持仓含分红收益触及固定止损；含分红持仓价值从周期高点回落至追踪退出线,0,2021-07-28,0,True
STRESS,2024-09-11,2024-09-12,持仓含分红收益触及固定止损,71900,2024-09-20,4,True
