period,scenario,constrained_execution_rows,different_filled_quantity_vs_base,same_request_unconstrained_cashflow_delta,same_request_unconstrained_minimum_cash,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
main,BASE_REQUESTS_STRESS_COST,6,6,-9975.605460000237,-6446.824959999884,1624,390556.9742399996,190556.9742399996,0.10487157657554413,1.222118533823919,0.084451353514661,-0.06651766389606417,120,5916.22576,16267.500000000027,0.17968595266822185,8.321876521222293e-11
main,BASE_TARGETS_STRESS_COST,1,82,-9975.605460000237,-6446.824959999884,1624,387516.18596000003,187516.18596000003,0.10358544262468405,1.224869442193122,0.08323077733371713,-0.06512740396645766,120,5822.81404,16008.000000000027,0.17743528152419605,1.000159954855917e-10
earlier,BASE_REQUESTS_STRESS_COST,5,6,-6124.6213999999645,-2607.7283600000437,1219,330314.96580000006,130314.96580000006,0.10473445219762234,1.1822524179267193,0.0874996922715329,-0.06042078952427998,66,3368.8342000000002,9429.899999999985,0.2800615477219436,7.480593922082335e-11
earlier,BASE_TARGETS_STRESS_COST,1,38,-6124.6213999999645,-2607.7283600000437,1219,329411.25648000004,129411.25648000004,0.10413376725886758,1.1805258959882574,0.08714034117970189,-0.05977689811510378,66,3337.1435200000005,9340.799999999983,0.2785271485845854,7.116796041373163e-11
