scenario,period,cost,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
BASE_REQUESTS_STRESS_COST,earlier,STRESS,1219,330314.96580000006,130314.96580000006,0.10473445219762234,1.1822524179267193,0.0874996922715329,-0.06042078952427998,66,3368.8342000000002,9429.899999999985,0.2800615477219436,7.480593922082335e-11
BASE_REQUESTS_STRESS_COST,main,STRESS,1624,390556.9742399996,190556.9742399996,0.10487157657554413,1.222118533823919,0.084451353514661,-0.06651766389606417,120,5916.22576,16267.500000000027,0.17968595266822185,8.321876521222293e-11
BASE_TARGETS_STRESS_COST,earlier,STRESS,1219,329411.25648000004,129411.25648000004,0.10413376725886758,1.1805258959882574,0.08714034117970189,-0.05977689811510378,66,3337.1435200000005,9340.799999999983,0.2785271485845854,7.116796041373163e-11
BASE_TARGETS_STRESS_COST,main,STRESS,1624,387516.18596000003,187516.18596000003,0.10358544262468405,1.224869442193122,0.08323077733371713,-0.06512740396645766,120,5822.81404,16008.000000000027,0.17743528152419605,1.000159954855917e-10
BASE_TARGET_REPLAY_CHECK,earlier,BASE,1219,336497.94003999984,136497.94003999984,0.10880924148940152,1.2287047720158415,0.08716569677089439,-0.058576410519798894,66,1726.65996,4962.700000000081,0.278449425716574,7.912603905424476e-11
BASE_TARGET_REPLAY_CHECK,main,BASE,1624,400689.26602000016,200689.26602000016,0.10909651067308168,1.2847775260589454,0.08322800128793671,-0.06404028297935171,120,3056.23398,9195.499999999796,0.17735216318827293,8.469669410260394e-11
BUY_HOLD,earlier,BASE,1219,242462.19424,42462.19424000001,0.03896122819664383,0.27872198615255206,0.25150253852073073,-0.4501919403512673,2,85.00576000000001,276.9999999999941,0.9624183821070051,4.729372449219227e-11
BUY_HOLD,earlier,STRESS,1219,242155.58848,42155.588480000006,0.038700272085686604,0.2777077741807245,0.2516713023637165,-0.4504213486795602,2,170.01152000000002,498.5999999999943,0.9631159747963955,5.4569682106375694e-11
BUY_HOLD,main,BASE,1624,245794.88935999997,45794.88935999997,0.03120072193302348,0.26097761645112616,0.17950709453877048,-0.4095181596707963,1,39.91064,145.2000000000055,0.9526022041653335,8.185452315956354e-11
BUY_HOLD,main,STRESS,1624,245658.13999999998,45658.139999999985,0.031115209781257258,0.26046555084381023,0.17961831268883494,-0.4097147841252322,1,79.86,241.99999999999483,0.9532084912704749,6.184563972055912e-11
CONSTANT20,earlier,BASE,1219,208507.76816,8507.768160000007,0.008304565024056743,0.18210452323672863,0.0531945315797293,-0.12180861912753616,2,17.03184,55.49999999999882,0.20058321866230047,3.5356606531422585e-11
CONSTANT20,earlier,STRESS,1219,208446.33632,8446.336320000002,0.00824558214601967,0.18099096467563788,0.0532002885287594,-0.1218254074920615,2,34.063680000000005,99.89999999999887,0.20061316014344394,3.61524143954739e-11
