period,cost,year,actual_return,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
main,BASE,2020,0.2157030233999997,243,243140.60467999996,43140.60467999996,0.21472623828539428,2.099116993999091,0.09478224814554834,-0.028272231978549445,14,306.19532000000004,988.0000000000427,0.2058064146191667,2.9544366952904966e-11
main,BASE,2021,0.10162556703566716,243,267849.9064999999,24709.301819999964,0.10118687704673213,1.6047294558126202,0.061229947047948055,-0.027844889816055485,18,401.19818,1129.7999999999624,0.1705544252150014,5.030642569181509e-11
main,BASE,2022,-0.006969501779534593,242,265983.1261,-1866.7803999999305,-0.006969501779534593,-0.18230837584233694,0.035018945467998386,-0.031352030819684074,21,341.7804,1030.8999999999933,0.07057351767720908,8.469669410260394e-11
main,BASE,2023,0.005049049838955266,242,267326.08816000004,1342.962060000049,0.005049049838955266,0.38884002277380003,0.013174121639071747,-0.010781973012103707,16,233.93794000000003,728.2999999999771,0.04265830549003314,7.58859641791787e-11
main,BASE,2024,0.27529325673577043,242,340919.1575800001,73593.06942000007,0.27529325673577043,1.595550954871272,0.1601653275532348,-0.060354305521335916,17,618.83058,1826.399999999924,0.32171963620240135,7.79891706770286e-11
main,BASE,2025,0.16183023949615882,243,396090.18650000024,55171.02892000013,0.1611132981060419,3.2203200073712517,0.04673535514608713,-0.007840984589335354,17,516.97108,1538.2000000000053,0.20400063095416204,5.678657544194721e-11
main,BASE,2026,0.011611192795860648,169,400689.26602000016,4599.079519999912,0.01666828261943487,0.2482547003284849,0.07911797877198094,-0.06404028297935171,17,637.3204800000001,1953.8999999998907,0.24694569496294244,8.36735125631094e-11
main,STRESS,2020,0.2099714426000001,243,241994.28852000003,41994.28852000003,0.2090227750438567,2.052525641813283,0.09463236873915933,-0.029018598123002115,14,600.61148,1668.299999999996,0.20575017457303693,3.774403012357652e-11
main,STRESS,2021,0.09586430647549271,243,265192.9031600001,23198.614640000073,0.09545154836423686,1.5151075816303872,0.061411276092932975,-0.030666314801253258,18,777.9853600000001,2125.899999999971,0.17091403237990596,3.7687186704715714e-11
main,STRESS,2022,-0.010490856153572703,242,262410.8025600002,-2782.100599999889,-0.010490856153572703,-0.2801134724897204,0.03542235156306226,-0.03252041152000584,21,612.9006,1717.8000000000059,0.07061090918869566,5.793054924652097e-11
main,STRESS,2023,0.002380835826517158,242,263035.5596000002,624.7570399999968,0.002380835826517158,0.18627497667383014,0.013233442382558745,-0.011561227320401435,16,422.64296,1212.4000000000199,0.0427324825342479,4.7265302782761864e-11
main,STRESS,2024,0.2655200754841205,242,332876.78124000016,69841.22163999995,0.2655200754841205,1.5481209343633027,0.16009241209460143,-0.06499387566489667,17,1202.97836,3454.2999999999597,0.32185822850738816,7.059952622512355e-11
main,STRESS,2025,0.15307700516144251,243,383832.56200000003,50955.78075999988,0.1524013291300863,3.1019769138206086,0.046079296590132324,-0.007837023329243298,17,992.31924,2657.300000000064,0.2013557454547509,5.999822860758286e-11
main,STRESS,2026,0.006825527949866794,169,386452.42188,2619.8598799999454,0.00978822247088229,0.1621880722684685,0.07934677773583965,-0.06508596549013435,17,1211.74012,3147.5,0.24709257716817035,7.702283255639486e-11
earlier,BASE,2015,0.31642409559999995,244,263284.81912,63284.81912,0.3134609596400668,2.0282968877757512,0.13926545296114992,-0.055986451079579114,16,224.78088,650.7999999999929,0.3674484622566853,4.8977710775943706e-11
earlier,BASE,2016,-0.0028187407936415276,244,262542.6874599999,-742.1316600000719,-0.002795668687339492,-0.0032963007567097455,0.07169691267032965,-0.047324574086962445,8,207.03166000000004,607.6000000000556,0.26252721805942836,6.230038707144558e-11
earlier,BASE,2017,0.1317379745542122,244,297129.5293399999,34586.84187999996,0.13059054312291596,1.6109412789942983,0.07809716370354357,-0.05463170857332489,11,333.35812,958.7999999999928,0.404694850266842,7.912603905424476e-11
earlier,BASE,2018,0.038433174129026915,243,308549.1602799999,11419.630940000003,0.03827202431078214,0.7543611760146434,0.05154673552307289,-0.058576410519798894,16,328.66906,975.6999999999834,0.0864882444435346,7.207745511550456e-11
earlier,BASE,2019,0.09058128608950744,244,336497.94003999984,27948.779759999947,0.0898064366964264,1.3011404579526924,0.06785955530887211,-0.04888878152024234,15,632.82024,1769.8000000000554,0.2703016274036215,4.82458517581108e-11
earlier,STRESS,2015,0.3119274282000002,244,262385.48564,62385.48564000003,0.3090111263792872,2.0036933381450237,0.13928109906919214,-0.05600822500856428,16,439.01436,1235.9999999999964,0.3678425900435721,7.457856554538012e-11
earlier,STRESS,2016,-0.0057830805553091835,244,260868.08924,-1517.396400000027,-0.005735814462817679,-0.04461273168311851,0.07161312931188162,-0.04865836013113822,8,402.4964,1208.5000000000014,0.26289065355012325,6.02540239924565e-11
earlier,STRESS,2017,0.1267953487770952,244,293944.94960000017,33076.860360000166,0.1256933129788349,1.5546732645359471,0.07813182349424114,-0.05478600726771499,11,651.0396400000001,1828.7999999999936,0.4046516650397255,6.616573955398053e-11
earlier,STRESS,2018,0.03476098723214882,243,304162.7662400004,10217.816640000208,0.0346154901819653,0.6876746756919468,0.05140391837953991,-0.059754186269904364,16,614.7833600000001,1748.200000000008,0.08655336967637345,6.912159733474255e-11
earlier,STRESS,2019,0.1138728826942299,244,338798.6572400004,34635.891,0.11288869953112224,1.5576377880850796,0.0702493395036708,-0.046862747744163546,15,1226.6090000000002,3304.599999999985,0.2805138241983693,5.67297320230864e-11
