cost,entry,original_exit,variant,window_account_return,window_profit,last_sell_date_in_window,final_shares_at_window_end
STRESS,2020-12-15,2021-01-20,FINAL_RISK_CAP10,0.0763408113775581,16662.12235999998,2021-01-20,0
STRESS,2020-07-01,2020-07-08,ORIGINAL,0.11265254980171924,23535.418280000013,2020-07-08,0
STRESS,2020-07-01,2020-07-08,NO_ZERO_WAIT,0.13188932475640747,27748.02607999998,2020-07-07,0
STRESS,2020-07-01,2020-07-08,NO_INTERNAL_UPSCALE,0.08247083022649337,17229.840680000023,2020-07-08,0
STRESS,2020-07-01,2020-07-08,NO_115_MULTIPLIER,0.10537776190391512,21913.73676,2020-07-08,0
STRESS,2020-07-01,2020-07-08,SOURCE_A_ONLY,0.11973914707709188,24989.776560000028,2020-07-08,0
STRESS,2020-07-01,2020-07-08,SOURCE_B_ONLY,0.08540380454754004,17929.467519999977,2020-07-07,0
STRESS,2020-07-01,2020-07-08,FINAL_RISK_CAP10,0.08899201793381106,18054.230240000004,2020-07-08,0
STRESS,2025-06-03,2025-07-30,ORIGINAL,0.05644400238615521,19560.177280000004,2025-07-30,0
STRESS,2025-06-03,2025-07-30,NO_ZERO_WAIT,0.06056511068415804,19032.401039999968,2025-07-29,0
STRESS,2025-06-03,2025-07-30,NO_INTERNAL_UPSCALE,0.014981336201613571,4380.391760000028,2025-07-30,0
STRESS,2025-06-03,2025-07-30,NO_115_MULTIPLIER,0.05437938751090732,17939.10772000003,2025-07-30,0
STRESS,2025-06-03,2025-07-30,SOURCE_A_ONLY,0.056800333575645956,20039.787039999967,2025-07-30,0
STRESS,2025-06-03,2025-07-30,SOURCE_B_ONLY,0.052471038552641014,15152.803799999994,2025-07-29,0
STRESS,2025-06-03,2025-07-30,FINAL_RISK_CAP10,0.05643723965059033,15230.064240000036,2025-07-30,0
STRESS,2025-04-09,2025-04-24,ORIGINAL,0.0408433743160137,13598.506639999978,2025-04-24,0
STRESS,2025-04-09,2025-04-24,NO_ZERO_WAIT,0.043093653322650916,12982.58203999995,2025-04-23,0
STRESS,2025-04-09,2025-04-24,NO_INTERNAL_UPSCALE,0.04081226964346141,11465.176559999993,2025-04-24,0
STRESS,2025-04-09,2025-04-24,NO_115_MULTIPLIER,0.03801347499574059,12080.950559999968,2025-04-24,0
STRESS,2025-04-09,2025-04-24,SOURCE_A_ONLY,0.04101912334962221,13901.763079999946,2025-04-24,0
STRESS,2025-04-09,2025-04-24,SOURCE_B_ONLY,0.03936285697301245,10936.862679999962,2025-04-23,0
STRESS,2025-04-09,2025-04-24,FINAL_RISK_CAP10,0.017921684137768734,4751.168399999966,2025-04-24,0
