period,cost,entry,origin,target,known_etf_vol20,target_times_volatility_proxy,entry_open_exposure
main,BASE,2020-01-02,2019-12-31,0.9558016,0.1176953478964844,0.11249340183201643,0.9608162138821461
main,BASE,2020-02-05,2020-02-04,0.7060016806106924,0.35764253269249774,0.2524962291387679,0.7089445915100868
main,BASE,2020-03-23,2020-03-20,0.023725895112170086,0.3076366390582627,0.007298954630956868,0.022004025006090083
main,BASE,2020-07-01,2020-06-30,0.6482320140216096,0.14203331553347226,0.09207054218642949,0.6481622242768545
main,BASE,2020-08-19,2020-08-18,0.370599935630445,0.23810928810128304,0.08824328684334658,0.3693213097890292
main,BASE,2020-12-15,2020-12-14,0.9549849868065472,0.14119145883060258,0.13483572344854017,0.9543772476268355
main,BASE,2021-02-03,2021-02-02,0.18917542130083995,0.22831610679022235,0.04319179569180788,0.1874759565932577
main,BASE,2021-03-11,2021-03-10,0.022929969672268714,0.3016211543829132,0.00691616392251488,0.021507318912177192
main,BASE,2021-06-08,2021-06-07,0.06615693008651678,0.16545334715915844,0.010945885520588635,0.0659061084667679
main,BASE,2021-07-29,2021-07-28,0.9983449270839252,0.21671868929799679,0.21636000406493244,0.9988271182384832
main,BASE,2021-10-29,2021-10-28,0.2269164582823318,0.11842199512345127,0.02687189971614113,0.2261488086854397
main,BASE,2022-01-10,2022-01-07,0.023098271470304594,0.11585720068920967,0.0026761010733089255,0.02189953475305349
main,BASE,2022-01-27,2022-01-26,0.023676140486219462,0.14866680780993918,0.003519856227345909,0.022784939105579903
main,BASE,2022-03-11,2022-03-10,0.024261561168578628,0.18663404093649863,0.004528033200319869,0.023697124606705786
main,BASE,2022-04-25,2022-04-22,0.02398024535284089,0.21386145456470737,0.005128450151977117,0.02361213199197496
main,BASE,2022-05-13,2022-05-12,0.24700108215875424,0.27494315368915334,0.06791125649336156,0.24917420338946838
main,BASE,2022-08-05,2022-08-04,0.02314374552903062,0.13042415430627735,0.0030185034381035062,0.022961006691304228
main,BASE,2022-09-21,2022-09-20,0.023997540862670235,0.13192022345770255,0.0031657609530388055,0.023921600311815658
main,BASE,2022-10-27,2022-10-26,0.023553689806732996,0.18272838654483392,0.0043039277355618214,0.022500568542360495
main,BASE,2023-01-10,2023-01-09,0.12090421120062997,0.1238917060048903,0.014979028988821613,0.12083789517205823
main,BASE,2023-03-30,2023-03-29,0.1314093100159132,0.11400231835924768,0.01498096599580321,0.13093628690323478
main,BASE,2023-05-29,2023-05-26,0.024412113000046674,0.13014688836071864,0.0031771605452663226,0.023079348617342215
main,BASE,2023-08-23,2023-08-22,0.024245794609137224,0.15260949467922164,0.003700138463396628,0.022796055227724182
main,BASE,2023-10-18,2023-10-17,0.02348148509539291,0.11397033802097249,0.0026761927935563573,0.022120039863840035
main,BASE,2023-11-29,2023-11-28,0.023861980485029074,0.09485103019002204,0.0022633334313792094,0.02278857106154649
