cost,scope,variant,complete_cycles,mean_cycle_return,mean_increment,median_increment,better_cycles,worse_cycles,same_cycles,delta_q025,delta_q975
BASE,all_mature,PRICE_ORIGINAL,23,0.023120429339130423,0.0,0.0,0,0,23,0.0,0.0
BASE,all_mature,RIDGE_MONTHLY,23,0.025758897047826156,0.0026384677086957343,0.0,11,8,4,-0.01893774719543469,0.020797790696739163
BASE,all_mature,WITHIN_MONTHLY,23,0.027951841269565226,0.004831411930434802,0.0,10,7,6,-0.016811196391413007,0.024915481925217323
BASE,all_mature,WITHIN_ENTRY_FIXED,23,0.028447720334782614,0.005327290995652193,0.0,10,7,6,-0.016264471574456502,0.02569807203478258
BASE,all_mature,TIME20,23,0.018191772278260868,-0.004928657060869554,0.0,10,10,3,-0.025295259870217402,0.013933443530543509
BASE,all_mature,PROFIT08,23,0.03303785849999999,0.009917429160869568,0.0,7,5,11,-0.0022463658543478322,0.023658101128913048
BASE,main_mature,PRICE_ORIGINAL,17,0.0242448194352941,0.0,0.0,0,0,17,0.0,0.0
BASE,main_mature,RIDGE_MONTHLY,17,0.025279900417647154,0.0010350809823530538,0.013269345599999927,9,7,1,-0.027270641969558695,0.025525852631764802
BASE,main_mature,WITHIN_MONTHLY,17,0.029836977447058828,0.005592158011764727,0.0,8,5,4,-0.023089718303676458,0.03222930765264705
BASE,main_mature,WITHIN_ENTRY_FIXED,17,0.029836977447058828,0.005592158011764727,0.0,8,5,4,-0.023089718303676458,0.03222930765264705
BASE,main_mature,TIME20,17,0.027581587047058806,0.003336767611764706,0.0,8,7,2,-0.019993958540000023,0.024262200848970586
BASE,main_mature,PROFIT08,17,0.033518229088235284,0.009273409652941185,0.0,5,3,9,-0.00511441147191175,0.025207648638235283
BASE,earlier_mature,PRICE_ORIGINAL,6,0.0199346574,0.0,0.0,0,0,6,0.0,0.0
BASE,earlier_mature,RIDGE_MONTHLY,6,0.027116054166666664,0.007181396766666663,0.0,2,1,3,-0.0026649668999999356,0.02219655979999996
BASE,earlier_mature,WITHIN_MONTHLY,6,0.022610622100000016,0.0026759647000000144,0.0,2,2,2,-0.010456991516666606,0.016880123299999956
BASE,earlier_mature,WITHIN_ENTRY_FIXED,6,0.02451149185000001,0.004576834450000011,0.0,2,2,2,-0.009707058199999952,0.02083933129999993
BASE,earlier_mature,TIME20,6,-0.008412702899999958,-0.028347360299999957,-0.024272644499999996,2,3,1,-0.06009297899999997,0.0005690059574998288
BASE,earlier_mature,PROFIT08,6,0.03167680849999999,0.011742151099999987,0.0,2,2,2,-0.007109244533333318,0.040365425300000014
STRESS,all_mature,PRICE_ORIGINAL,23,0.021671514913043484,0.0,0.0,0,0,23,0.0,0.0
STRESS,all_mature,RIDGE_MONTHLY,23,0.0242925005130435,0.002620985600000019,0.0,11,8,4,-0.017820820870434746,0.020552593782173976
STRESS,all_mature,WITHIN_MONTHLY,23,0.026479086930434808,0.004807572017391324,0.0,10,7,6,-0.016006250198043477,0.02392975649586958
STRESS,all_mature,WITHIN_ENTRY_FIXED,23,0.026974866800000025,0.005303351886956539,0.0,10,7,6,-0.015672197810000014,0.024564945950000066
STRESS,all_mature,TIME20,23,0.01673235744347828,-0.004939157469565201,0.0,10,10,3,-0.02484321825673912,0.013368565931956525
STRESS,all_mature,PROFIT08,23,0.03154823655652178,0.009876721643478293,0.0,7,5,11,-0.002584466886521678,0.023715647988260886
STRESS,main_mature,PRICE_ORIGINAL,17,0.022823198717647063,0.0,0.0,0,0,17,0.0,0.0
STRESS,main_mature,RIDGE_MONTHLY,17,0.023835134458823556,0.0010119357411764957,0.013266691199999903,9,7,1,-0.026847937051764713,0.026246690006176528
STRESS,main_mature,WITHIN_MONTHLY,17,0.02838114545882356,0.005557946741176496,0.0,8,5,4,-0.022976085078823517,0.033526503398529445
STRESS,main_mature,WITHIN_ENTRY_FIXED,17,0.02838114545882356,0.005557946741176496,0.0,8,5,4,-0.022976085078823517,0.033526503398529445
STRESS,main_mature,TIME20,17,0.026137330858823554,0.003314132141176491,0.0,8,7,2,-0.02097520852882351,0.025055573760000033
STRESS,main_mature,PROFIT08,17,0.0320403927176471,0.009217194000000043,0.0,5,3,9,-0.00547794764999994,0.02583960855000002
STRESS,earlier_mature,PRICE_ORIGINAL,6,0.018408410800000014,0.0,0.0,0,0,6,0.0,0.0
STRESS,earlier_mature,RIDGE_MONTHLY,6,0.025588371000000016,0.007179960200000002,0.0,2,1,3,-0.0026644338000000323,0.02319821700000002
STRESS,earlier_mature,WITHIN_MONTHLY,6,0.02108992110000002,0.0026815103000000042,0.0,2,2,2,-0.010573768799999975,0.01791645554999991
STRESS,earlier_mature,WITHIN_ENTRY_FIXED,6,0.02299041060000001,0.004581999799999996,0.0,2,2,2,-0.010573768799999975,0.020835162599999957
STRESS,earlier_mature,TIME20,6,-0.009915067233333316,-0.028323478033333332,-0.02426778900000004,2,3,1,-0.060544501133333296,0.0005710023000000489
STRESS,earlier_mature,PROFIT08,6,0.03015379410000002,0.011745383300000004,0.0,2,2,2,-0.007096660200000067,0.04035735060000004
