period,cost,net_sharpe,cycles,holding_closes,saved_price_dividend_profit_before_fees,commission_and_slippage,net_profit,terminal_nav_difference_vs_114
evaluation,BASE,0.31002505812498043,12,796,50748.10000000003,4254.508359999995,46493.591640000086,-66059.68542000008
evaluation,STRESS,0.2904298504799362,12,796,50283.60000000003,7836.205040000088,42447.39495999995,-61519.88936000015
earlier_diagnostic,BASE,0.05935309772568529,7,494,-2437.6999999999625,2212.1207200000276,-4649.820720000018,-106580.47308000008
earlier_diagnostic,STRESS,0.047848430455884355,7,494,-2382.69999999996,4214.141719999981,-6596.8417199999385,-104283.02064000009
