period,cost,holding_closes,complete_cycles,unknown_origins,locked_exit_origins,unfilled_requests
evaluation,BASE,796,12,0,0,0
evaluation,STRESS,796,12,0,0,0
earlier_diagnostic,BASE,494,7,0,0,0
earlier_diagnostic,STRESS,494,7,0,0,0
