period,cost,model,holding_closes,completed_round_trips,unknown_origins,locked_exit_origins,unfilled_requests
evaluation,BASE,BAYESIAN_RUN_LENGTH,988,43,0,0,0
evaluation,BASE,BAYESIAN_EXPANDING,1603,1,0,0,0
evaluation,STRESS,BAYESIAN_RUN_LENGTH,988,43,0,0,0
evaluation,STRESS,BAYESIAN_EXPANDING,1603,1,0,0,0
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,768,17,0,0,0
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,1218,1,0,0,0
earlier_diagnostic,STRESS,BAYESIAN_RUN_LENGTH,768,17,0,0,0
earlier_diagnostic,STRESS,BAYESIAN_EXPANDING,1218,1,0,0,0
