period,cost,model,year,new_return,parent_return,return_difference
evaluation,BASE,BAYESIAN_RUN_LENGTH,2020,0.04589856140000098,0.1984676459999992,-0.1525690845999982
evaluation,BASE,BAYESIAN_RUN_LENGTH,2021,-0.13659380074944216,0.04617691331485621,-0.18277071406429837
evaluation,BASE,BAYESIAN_RUN_LENGTH,2022,-0.08905767155348336,0.02614325317990448,-0.11520092473338783
evaluation,BASE,BAYESIAN_RUN_LENGTH,2023,-0.0978759155651277,0.0,-0.0978759155651277
evaluation,BASE,BAYESIAN_RUN_LENGTH,2024,0.04859779948626632,0.1052417254962333,-0.056643926009966976
evaluation,BASE,BAYESIAN_RUN_LENGTH,2025,0.17678086436796023,0.074523493402178,0.10225737096578223
evaluation,BASE,BAYESIAN_RUN_LENGTH,2026,0.035984466642339126,0.02277813084023497,0.013206335802104157
evaluation,BASE,BAYESIAN_EXPANDING,2020,0.2814884467999998,0.1984676459999992,0.0830208008000006
evaluation,BASE,BAYESIAN_EXPANDING,2021,-0.03909048117061911,0.04617691331485621,-0.08526739448547532
evaluation,BASE,BAYESIAN_EXPANDING,2022,-0.1955425417304226,0.02614325317990448,-0.22168579491032708
evaluation,BASE,BAYESIAN_EXPANDING,2023,-0.0916107335204824,0.0,-0.0916107335204824
evaluation,BASE,BAYESIAN_EXPANDING,2024,0.15920797025504138,0.1052417254962333,0.05396624475880808
evaluation,BASE,BAYESIAN_EXPANDING,2025,0.19000526796167636,0.074523493402178,0.11548177455949836
evaluation,BASE,BAYESIAN_EXPANDING,2026,0.020090666215121258,0.02277813084023497,-0.0026874646251137113
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2020,0.03833393260000034,0.19339729239999978,-0.15506335979999944
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2021,-0.1467573787350191,0.040063838676763254,-0.18682121741178234
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2022,-0.0971516407731612,0.023338175914139076,-0.12048981668730027
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2023,-0.10793505826045582,0.0,-0.10793505826045582
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2024,0.035391085258088296,0.09846225867325524,-0.06307117341516694
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2025,0.1700243688792715,0.07086640956728539,0.09915795931198611
evaluation,STRESS,BAYESIAN_RUN_LENGTH,2026,0.03401822909080897,0.01721367700991211,0.01680455208089686
evaluation,STRESS,BAYESIAN_EXPANDING,2020,0.2808047000000005,0.19339729239999978,0.08740740760000074
evaluation,STRESS,BAYESIAN_EXPANDING,2021,-0.039111349294704896,0.040063838676763254,-0.07917518797146815
evaluation,STRESS,BAYESIAN_EXPANDING,2022,-0.19565117943640215,0.023338175914139076,-0.21898935535054123
evaluation,STRESS,BAYESIAN_EXPANDING,2023,-0.09167400984745548,0.0,-0.09167400984745548
evaluation,STRESS,BAYESIAN_EXPANDING,2024,0.15932903507643253,0.09846225867325524,0.060866776403177295
evaluation,STRESS,BAYESIAN_EXPANDING,2025,0.19012989494689664,0.07086640956728539,0.11926348537961125
evaluation,STRESS,BAYESIAN_EXPANDING,2026,0.019527086784026232,0.01721367700991211,0.0023134097741141224
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,2015,0.20500161619999885,0.32273049870000053,-0.11772888250000169
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,2016,-0.13492872052132984,0.026171735386779606,-0.16110045590810945
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,2017,0.20059635254306069,0.10178593051068936,0.09881042203237132
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,2018,-0.05976241494906584,-0.07851933746461401,0.01875692251554817
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,2019,0.17748242625951485,0.09547468442489916,0.08200774183461569
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,2015,0.05713922759999948,0.32273049870000053,-0.265591271100001
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,2016,-0.09668830493789504,0.026171735386779606,-0.12286004032467465
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,2017,0.2242277924841871,0.10178593051068936,0.12244186197349773
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,2018,-0.2300736819265864,-0.07851933746461401,-0.15155434446197238
