method,filter_status,updates,available_forecasts,unknown_forecasts,saved_log_probability_cells
BAYESIAN_RUN_LENGTH,FILTER_COMPLETE,3455,3204,252,5973696
BAYESIAN_EXPANDING,FILTER_COMPLETE,3455,3204,252,3456
