period,cost,model,terminal_nav_difference_vs_114
evaluation,BASE,BAYESIAN_RUN_LENGTH,-122817.30894000013
evaluation,BASE,BAYESIAN_EXPANDING,-59302.21282000016
evaluation,STRESS,BAYESIAN_RUN_LENGTH,-125203.97224000015
evaluation,STRESS,BAYESIAN_EXPANDING,-50995.555840000074
earlier_diagnostic,BASE,BAYESIAN_RUN_LENGTH,-24816.58036000002
earlier_diagnostic,BASE,BAYESIAN_EXPANDING,-59468.458120000054
earlier_diagnostic,STRESS,BAYESIAN_RUN_LENGTH,-27661.85796000011
earlier_diagnostic,STRESS,BAYESIAN_EXPANDING,-55530.590440000145
