method,updates_checked,probability_cells,maximum_log_probability_error,maximum_forecast_mean_error
BAYESIAN_RUN_LENGTH,3455,5973696,4.311218049224408e-12,1.5612511283791264e-17
BAYESIAN_EXPANDING,3455,3456,0.0,1.3010426069826053e-18
