period,date,status,observations,panic_budget,learned_budget
evaluation,2024-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-06-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-08-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-09-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2024-12-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2025-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2025-02-05,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2025-03-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2025-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6803660419469812,0.31963395805301875
evaluation,2025-05-06,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9398880263127198,0.06011197368728016
evaluation,2025-06-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.939863715654812,0.06013628434518803
evaluation,2025-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9391533781436652,0.060846621856334826
evaluation,2025-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9362323268771413,0.06376767312285869
evaluation,2025-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9333091620188914,0.06669083798110864
evaluation,2025-10-09,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.2090959975392107,0.7909040024607893
evaluation,2025-11-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.20909599753921088,0.7909040024607892
evaluation,2025-12-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.20909599753921088,0.7909040024607892
evaluation,2026-01-05,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5389857485793578,0.46101425142064223
evaluation,2026-02-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6596305225954499,0.34036947740455015
evaluation,2026-03-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6596305225954494,0.3403694774045506
evaluation,2026-04-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6596305225954484,0.3403694774045516
evaluation,2026-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6596305225954484,0.3403694774045516
evaluation,2026-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6596305225954484,0.3403694774045516
evaluation,2026-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6596305225954484,0.3403694774045516
evaluation,2026-08-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6596305225954484,0.3403694774045516
earlier_diagnostic,2015-01-05,NO_VIEW_WARMUP_KEEP_BUDGET,1,0.5,0.5
earlier_diagnostic,2015-02-02,NO_VIEW_WARMUP_KEEP_BUDGET,21,0.5,0.5
earlier_diagnostic,2015-03-02,NO_VIEW_WARMUP_KEEP_BUDGET,36,0.5,0.5
earlier_diagnostic,2015-04-01,NO_VIEW_WARMUP_KEEP_BUDGET,58,0.5,0.5
earlier_diagnostic,2015-05-04,NO_VIEW_WARMUP_KEEP_BUDGET,79,0.5,0.5
earlier_diagnostic,2015-06-01,NO_VIEW_WARMUP_KEEP_BUDGET,99,0.5,0.5
earlier_diagnostic,2015-07-01,NO_VIEW_WARMUP_KEEP_BUDGET,120,0.5,0.5
earlier_diagnostic,2015-08-03,NO_VIEW_WARMUP_KEEP_BUDGET,143,0.5,0.5
earlier_diagnostic,2015-09-01,NO_VIEW_WARMUP_KEEP_BUDGET,164,0.5,0.5
earlier_diagnostic,2015-10-08,NO_VIEW_WARMUP_KEEP_BUDGET,184,0.5,0.5
earlier_diagnostic,2015-11-02,NO_VIEW_WARMUP_KEEP_BUDGET,201,0.5,0.5
earlier_diagnostic,2015-12-01,NO_VIEW_WARMUP_KEEP_BUDGET,222,0.5,0.5
earlier_diagnostic,2016-01-04,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7658934524111283,0.23410654758887173
earlier_diagnostic,2016-02-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6807499651400472,0.31925003485995285
earlier_diagnostic,2016-03-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6490968778514281,0.3509031221485719
earlier_diagnostic,2016-04-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6008827470658914,0.3991172529341086
earlier_diagnostic,2016-05-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5544165305804969,0.4455834694195031
earlier_diagnostic,2016-06-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5598721577321493,0.44012784226785073
earlier_diagnostic,2016-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6007449003102708,0.39925509968972916
earlier_diagnostic,2016-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6868124223942649,0.3131875776057351
earlier_diagnostic,2016-09-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7413341559655339,0.25866584403446613
earlier_diagnostic,2016-10-10,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7631828090173184,0.2368171909826816
earlier_diagnostic,2016-11-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6959450854875546,0.3040549145124454
earlier_diagnostic,2016-12-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5744067251689817,0.4255932748310183
earlier_diagnostic,2017-01-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.46742308529518145,0.5325769147048185
earlier_diagnostic,2017-02-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-04-05,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-05-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-07-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-08-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-10-09,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2017-12-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2018-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2018-02-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.6358499806647325,0.36415001933526747
earlier_diagnostic,2018-03-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7669410999893268,0.2330589000106732
earlier_diagnostic,2018-04-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7523901754151319,0.24760982458486813
earlier_diagnostic,2018-05-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7523901754151311,0.2476098245848689
earlier_diagnostic,2018-06-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7045854183223621,0.2954145816776379
earlier_diagnostic,2018-07-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5921287550797126,0.40787124492028737
earlier_diagnostic,2018-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.2597870301972134,0.7402129698027866
earlier_diagnostic,2018-09-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.2597870301972134,0.7402129698027866
earlier_diagnostic,2018-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.2597870301972134,0.7402129698027866
earlier_diagnostic,2018-11-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5954827683709272,0.4045172316290728
earlier_diagnostic,2018-12-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5954827683709275,0.4045172316290725
earlier_diagnostic,2019-01-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5954827683709277,0.40451723162907227
earlier_diagnostic,2019-02-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.5954827683709283,0.4045172316290717
earlier_diagnostic,2019-03-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.7870799660557972,0.21292003394420278
earlier_diagnostic,2019-04-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8490099756788211,0.15099002432117892
earlier_diagnostic,2019-05-06,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8490099756788192,0.1509900243211808
earlier_diagnostic,2019-06-03,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.8494045412519472,0.1505954587480528
earlier_diagnostic,2019-07-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.904688631329893,0.09531136867010703
earlier_diagnostic,2019-08-01,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9056810418122633,0.09431895818773672
earlier_diagnostic,2019-09-02,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9056810418122614,0.09431895818773861
earlier_diagnostic,2019-10-08,MIN_VARIANCE_BUDGET_AVAILABLE,242,0.9056862948185656,0.09431370518143445
earlier_diagnostic,2019-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9056862948185656,0.09431370518143445
earlier_diagnostic,2019-12-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9056862948185656,0.09431370518143445
