period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,22,8,59202.84952000005,38925.904360000015,0.6575005202553633
evaluation,STRESS,22,8,55985.77639999996,38251.91759999999,0.6832434961105589
earlier_diagnostic,BASE,16,6,39110.69112000002,61211.84246,1.5650923240448218
earlier_diagnostic,STRESS,16,6,36125.729000000036,60545.70751999999,1.675971923500836
