period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,208,23,24,0,0,0.055448448247992596
evaluation,STRESS,208,23,24,0,0,0.05542282892570241
earlier_diagnostic,BASE,339,17,18,0,0,0.12743462349611004
earlier_diagnostic,STRESS,339,17,18,0,0,0.12759197943522724
