period,cost,decision_origins,parent_signal_episodes,admission_counts,ended_signal_episodes,independent_zero_boundary_segmentation
evaluation,BASE,1604,23,"{'ADMITTED': 12, 'REJECTED': 11, 'NO_VIEW_ENTRY_TREND': 0}",22,True
evaluation,STRESS,1604,23,"{'ADMITTED': 12, 'REJECTED': 11, 'NO_VIEW_ENTRY_TREND': 0}",22,True
earlier_diagnostic,BASE,1219,10,"{'ADMITTED': 7, 'REJECTED': 3, 'NO_VIEW_ENTRY_TREND': 0}",10,True
earlier_diagnostic,STRESS,1219,10,"{'ADMITTED': 7, 'REJECTED': 3, 'NO_VIEW_ENTRY_TREND': 0}",10,True
