period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,parent_signal_episodes,admission_counts,ended_signal_episodes,last_signal_episode_still_active,new_model_fits,new_reference_accounts
evaluation,BASE,1604,182,1422,0,23,"{'ADMITTED': 12, 'REJECTED': 11, 'NO_VIEW_ENTRY_TREND': 0}",22,True,0,0
evaluation,STRESS,1604,182,1422,0,23,"{'ADMITTED': 12, 'REJECTED': 11, 'NO_VIEW_ENTRY_TREND': 0}",22,True,0,0
earlier_diagnostic,BASE,1219,174,1045,0,10,"{'ADMITTED': 7, 'REJECTED': 3, 'NO_VIEW_ENTRY_TREND': 0}",10,False,0,0
earlier_diagnostic,STRESS,1219,180,1039,0,10,"{'ADMITTED': 7, 'REJECTED': 3, 'NO_VIEW_ENTRY_TREND': 0}",10,False,0,0
