period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,20,0.883877592355659
evaluation,STRESS,1604,20,0.8314812504844292
earlier_diagnostic,BASE,1219,9,0.7660394266347471
earlier_diagnostic,STRESS,1219,9,0.7797482588132696
