period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,313,313,0,14,20,0,350
evaluation,STRESS,313,313,0,14,20,0,350
earlier_diagnostic,BASE,276,72,204,3,9,0,404
earlier_diagnostic,STRESS,282,78,204,3,9,0,404
