period,cost,decisions,first_zero_held_origins,confirmed_zero_held_origins,fills
evaluation,BASE,1604,27,25,113
evaluation,STRESS,1604,27,25,113
earlier_diagnostic,BASE,1219,15,15,63
earlier_diagnostic,STRESS,1219,15,15,64
