period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,first_zero_origins,mean_target
evaluation,TWO_CLOSE_ZERO_EXIT,BASE,1604,436,1168,0,29,0.18877627814358988
evaluation,TWO_CLOSE_ZERO_EXIT,STRESS,1604,436,1168,0,29,0.1888304587356554
earlier_diagnostic,TWO_CLOSE_ZERO_EXIT,BASE,1219,446,773,0,15,0.2722196877007909
earlier_diagnostic,TWO_CLOSE_ZERO_EXIT,STRESS,1219,452,767,0,15,0.27580913151900366
