period,cost,model,assumption,completed_cycles,standing_order_days,profit_limit_fills,intraday_profit_fills,holding_closes,buy_trades,sell_trades,unfilled_triggered_or_open_requests,no_view_execution_inputs
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,THROUGH_PRICE,3,25,1,1,27,3,3,0,0
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,CLOSE_STILL_ABOVE,3,25,1,1,27,3,3,0,0
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,THROUGH_PRICE,3,25,1,1,27,3,3,0,0
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,CLOSE_STILL_ABOVE,3,25,1,1,27,3,3,0,0
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,THROUGH_PRICE,8,32,0,0,40,8,8,0,0
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,CLOSE_STILL_ABOVE,8,32,0,0,40,8,8,0,0
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,THROUGH_PRICE,8,32,0,0,40,8,8,0,0
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,CLOSE_STILL_ABOVE,8,32,0,0,40,8,8,0,0
