period,cost,model,entry_date,new_exit,old_exit,new_profit,old_profit,profit_difference
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2020-02-05,2020-02-17,2020-02-18,11956.032000000008,14067.609600000005,-2111.577599999997
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2021-07-29,2021-08-11,2021-08-11,8251.225919999997,8327.626159999985,-76.40023999998812
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2025-04-09,2025-04-23,2025-04-23,11278.325139999972,11393.2147,-114.88956000002872
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020-02-05,2020-02-17,2020-02-18,11956.032000000008,14067.609600000005,-2111.577599999997
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2021-07-29,2021-08-11,2021-08-11,8251.225919999997,8327.626159999985,-76.40023999998812
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2025-04-09,2025-04-23,2025-04-23,11278.325139999972,11393.2147,-114.88956000002872
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2020-02-05,2020-02-17,2020-02-18,11903.770600000018,13747.532800000017,-1843.7621999999992
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2021-07-29,2021-08-11,2021-08-11,7930.468960000027,8004.069600000034,-73.60064000000693
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2025-04-09,2025-04-23,2025-04-23,10934.753759999992,11027.736359999979,-92.98259999998663
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020-02-05,2020-02-17,2020-02-18,11903.770600000018,13747.532800000017,-1843.7621999999992
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2021-07-29,2021-08-11,2021-08-11,7930.468960000027,8004.069600000034,-73.60064000000693
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2025-04-09,2025-04-23,2025-04-23,10934.753759999992,11027.736359999979,-92.98259999998663
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2015-06-24,2015-06-29,2015-06-29,-14797.10321999999,-14797.103219999995,5.4569682106375694e-12
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2015-07-10,2015-07-13,2015-07-13,10029.05739999999,10029.057400000034,-4.3655745685100555e-11
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,2015-08-28,2015-09-15,2015-09-15,-2636.028499999986,-2636.0284999999735,-1.2278178473934531e-11
