period,cost,model,limit_days,cycles,net_sharpe
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,25,3,1.124013461496012
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,25,3,1.124013461496012
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,25,3,1.1061030049671359
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,25,3,1.1061030049671359
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_THROUGH,32,8,-0.10683567142232424
earlier_diagnostic,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,32,8,-0.10683567142232424
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_THROUGH,32,8,-0.1387479032812565
earlier_diagnostic,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,32,8,-0.1387479032812565
