period,cost,model,date,entry_date,limit_price,reference_price,fill_price,shares
evaluation,BASE,PANIC_PROFIT_LIMIT_THROUGH,2020-02-17,2020-02-05,4.014,4.017,4.014,52800
evaluation,BASE,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020-02-17,2020-02-05,4.014,4.017,4.014,52800
evaluation,STRESS,PANIC_PROFIT_LIMIT_THROUGH,2020-02-17,2020-02-05,4.017,4.022,4.017,52700
evaluation,STRESS,PANIC_PROFIT_LIMIT_CLOSE_CONFIRM,2020-02-17,2020-02-05,4.017,4.022,4.017,52700
