cycle_id,entry_date,entry_index,entry_signal_origin,entry_quantity,entry_fill_price,entry_commission,entry_cost_cny,exit_date,exit_index,exit_quantity,exit_fill_price,exit_commission,exit_net_proceeds_cny,dividend_entitlement_cny,holding_open_to_open_trading_intervals,cycle_net_profit_cny,cycle_net_return,exit_signal_origin,exit_reasons
1,2024-05-06,2900,2024-04-30,54900,3.642,39.98916,199985.78916,2024-07-01,2939,54900,3.485,38.2653,191288.2347,0.0,39,-8697.554459999985,-0.04349086250844281,2024-06-28,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立
2,2025-01-02,3064,2024-12-31,47500,4.023,38.2185,191130.71849999996,2025-04-01,3121,47500,3.986,37.867000000000004,189297.133,0.0,57,-1833.5854999999574,-0.009593358484653813,2025-03-31,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立
3,2025-07-01,3181,2025-06-30,47500,3.982,37.829,189182.829,2025-09-01,3225,47500,4.604,43.738,218646.262,0.0,44,29463.43299999999,0.15574052442148423,2025-08-29,月末盈利或趋势条件明确不成立
4,2025-11-03,3264,2025-10-31,45900,4.755,43.6509,218298.1509,2026-01-28,3324,45900,4.722,43.34796000000001,216696.45204,5645.7,60,4044.0011400000076,0.01852512778201465,2026-01-27,最长持有期到期
5,2026-03-02,3341,2026-02-27,47100,4.697,44.245740000000005,221272.94574000002,2026-03-23,3356,47100,4.525,42.62550000000001,213084.87450000003,0.0,15,-8188.07123999999,-0.03700439388383758,2026-03-20,连续两个收盘低于一百二十日均线
6,2026-05-06,3384,2026-04-30,44100,4.869,42.94458,214765.84458,2026-07-20,3436,44100,4.627,40.81014,204009.88986,0.0,52,-10755.954720000009,-0.050082240688851365,2026-07-17,连续两个收盘低于一百二十日均线
