cycle_id,entry_date,entry_index,entry_signal_origin,entry_quantity,entry_fill_price,entry_commission,entry_cost_cny,exit_date,exit_index,exit_quantity,exit_fill_price,exit_commission,exit_net_proceeds_cny,dividend_entitlement_cny,holding_open_to_open_trading_intervals,cycle_net_profit_cny,cycle_net_return,exit_signal_origin,exit_reasons
1,2024-05-06,2900,2024-04-30,54900,3.642,39.98916,199985.78916,2024-07-01,2939,54900,3.485,38.2653,191288.2347,0.0,39,-8697.554459999985,-0.04349086250844281,2024-06-28,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立
2,2024-11-01,3021,2024-10-31,48100,3.966,38.15292,190802.75292,2025-01-27,3081,48100,3.934,37.84508,189187.55492,0.0,60,-1615.198000000004,-0.008465276183290849,2025-01-24,最长持有期到期
3,2025-03-03,3100,2025-02-28,47400,3.997,37.89156,189495.69155999998,2025-04-01,3121,47400,3.986,37.78728000000001,188898.61272000003,0.0,21,-597.0788399999437,-0.003150883458534426,2025-03-31,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立
4,2025-07-01,3181,2025-06-30,47400,3.982,37.74936,188784.54936,2025-09-23,3241,47400,4.624,43.835519999999995,219133.76447999998,0.0,60,30349.21511999998,0.1607611174902135,2025-09-22,最长持有期到期
5,2025-10-09,3247,2025-09-30,46100,4.757,43.859539999999996,219341.55954,2026-01-05,3307,46100,4.78,44.071600000000004,220313.9284,0.0,60,972.3688600000169,0.004433126408142973,2025-12-31,最长持有期到期
6,2026-02-02,3327,2026-01-30,46700,4.683,43.73922,218739.83922,2026-03-23,3356,46700,4.525,42.26350000000001,211275.23650000003,0.0,29,-7464.602719999966,-0.03412548325269804,2026-03-20,连续两个收盘低于一百二十日均线
7,2026-05-06,3384,2026-04-30,43700,4.869,42.55506,212817.85506,2026-07-20,3436,43700,4.627,40.43998,202159.46002,0.0,52,-10658.395040000003,-0.050082240688851365,2026-07-17,连续两个收盘低于一百二十日均线
