origin,execution_date,origin_index,simulation_only,requested_quantity,reference_weight,signal_state,action,entry_signal,exit_reasons,new_exit_trigger,cycle_id,last_exit_index
2024-06-28,2024-07-01,2938,True,-54900,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,0.0,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立,True,1.0,-1000000
2025-01-24,2025-01-27,3080,True,-48100,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,,最长持有期到期,True,2.0,2939
2025-03-31,2025-04-01,3120,True,-47400,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,0.0,连续两个收盘低于一百二十日均线；月末盈利或趋势条件明确不成立,True,3.0,3081
2025-09-22,2025-09-23,3240,True,-47400,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,,最长持有期到期,True,4.0,3121
2025-12-31,2026-01-05,3306,True,-46100,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,1.0,最长持有期到期,True,5.0,3241
2026-03-20,2026-03-23,3355,True,-46700,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,,连续两个收盘低于一百二十日均线,True,6.0,3307
2026-07-17,2026-07-20,3435,True,-43700,0.0,EXPLICIT_EXIT_POLICY_WAITING_FOR_FILL,按独立退出规则清仓，未成交则继续请求,,连续两个收盘低于一百二十日均线,True,7.0,3356
