round,period,cost,model,final_equity_difference,price_pnl_difference,dividend_difference,extra_commission_and_slippage
41,evaluation,BASE,ENTRY_VOL10,-35618.24208000011,-37779.199999999975,-1771.999999999999,-3932.9579199998934
41,evaluation,BASE,ENTRY_HALF,-43141.43082000001,-43371.29999999999,-5003.199999999999,-5233.069179999882
41,evaluation,STRESS,ENTRY_VOL10,-31555.532560000138,-36963.599999999984,-1703.199999999999,-7111.267440000009
41,evaluation,STRESS,ENTRY_HALF,-37866.014680000255,-42481.6,-4881.5999999999985,-9497.185320000019
41,earlier_diagnostic,BASE,ENTRY_VOL10,-62048.04769999997,-62827.799999999996,-1491.0000000000002,-2270.75229999996
41,earlier_diagnostic,BASE,ENTRY_HALF,-52439.01117999997,-53457.400000000016,-962.5000000000001,-1980.888819999984
41,earlier_diagnostic,STRESS,ENTRY_VOL10,-59268.16048000008,-62194.399999999994,-1491.0000000000002,-4417.239520000003
41,earlier_diagnostic,STRESS,ENTRY_HALF,-50072.100600000005,-52981.0,-962.5000000000001,-3871.399400000003
42,evaluation,BASE,PRICE_STREAK_EXIT,-6289.189759999921,-8926.999999999898,5124.9000000000015,2487.089760000119
42,evaluation,STRESS,PRICE_STREAK_EXIT,-8027.410759999999,-8188.099999999904,4819.4000000000015,4658.710759999878
42,earlier_diagnostic,BASE,PRICE_STREAK_EXIT,-107205.37204000005,-104623.6,-1939.0000000000002,642.7720399999953
42,earlier_diagnostic,STRESS,PRICE_STREAK_EXIT,-106857.88228000002,-103647.4,-1939.0000000000002,1271.4822800000366
43,evaluation,BASE,AFTERNOON_EXIT,-13084.830800000287,-13065.199999999968,-202.39999999999964,-182.76919999978054
43,evaluation,STRESS,AFTERNOON_EXIT,-12649.739480000135,-12718.699999999953,-202.39999999999964,-271.3605199999747
43,earlier_diagnostic,BASE,AFTERNOON_EXIT,0.0,0.0,0.0,0.0
43,earlier_diagnostic,STRESS,AFTERNOON_EXIT,0.0,0.0,0.0,0.0
