cost_scenario,model,策略,动作,date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after,decision_action,execution_exit_reasons,forecast_age_trading_days
BASE,PRICE_EPS,价格加前瞻EPS,增加,2024-08-01,3.502,3.483,CLOSE,294.6948600000251,48300,0.0,168523.59486,-0.006882546086892094,-1167.9096000000136,-1135.499999999993,0.0,0.0,0.9982513139466029,-1.7958967646336532e-11,2024-07-31,False,0.24810928712497915,12000,12000,3.502,3.504,8.409600000000001,24.000000000002686,42048.0,FILLED,42351.104460000024,36300,294.6948600000251,48300.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,退出,2024-10-08,4.656,4.412,CLOSE,224989.64688000004,0,0.0,224989.64688000004,0.09885807535744107,20241.052020000032,20430.9,0.0,0.0,0.0,-6.934897101018578e-12,2024-09-30,False,0.9980478024418996,-48300,-48300,4.656,4.6530000000000005,44.94798000000001,144.8999999999626,224739.90000000002,FILLED,294.6948600000251,48300,224989.64688000004,0.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,进入,2025-01-02,4.02,3.909,CLOSE,169058.76294000004,13900,0.0,223393.86294000005,-0.0070926994291924395,-1595.783939999994,-1542.8999999999967,0.0,0.0,0.24322557157531907,4.369837824924616e-12,2024-12-31,False,0.24854343644454538,13900,13900,4.02,4.023,11.18394,41.70000000000158,55919.7,FILLED,224989.64688000004,0,169058.76294000004,13900.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,增加,2025-02-05,3.93,3.887,CLOSE,342.22638000006555,56800,0.0,221123.82638000007,-0.010038394062585332,-2242.236559999961,-2122.7000000000066,0.0,0.0,0.9984523315031102,3.601030584832188e-11,2025-01-27,False,0.7541061075274885,43200,42900,3.93,3.932,33.73656,85.79999999999055,168682.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,169058.76294000004,13900,342.22638000006555,56800.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,增加,2025-07-01,3.98,3.988,CLOSE,159.02638000006482,58100,0.0,231861.82638000004,0.0014841164143855057,343.5999999999767,351.1999999999877,0.0,0.0,0.9993141329796159,-1.0702549957386509e-11,2025-06-30,False,0.022370339266680306,1300,1300,3.98,3.982,5.0,2.600000000000291,5176.6,FILLED,5340.626380000065,56800,159.02638000006482,58100.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,退出,2025-09-01,4.607,4.616,CLOSE,267597.92790000007,0,0.0,267597.92790000007,0.0004516330859201112,120.80152000003727,348.6000000000132,0.0,0.0,0.0,3.0667024475405924e-11,2025-08-29,False,0.9987554355419647,-58100,-58100,4.607,4.604,53.49848000000001,174.3000000000066,267492.4,FILLED,159.02638000006482,58100,267597.92790000007,0.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,进入,2025-11-03,4.752,4.763,CLOSE,133955.70480000007,28100,0.0,267796.00480000005,0.0007402034147065972,198.07689999998547,309.1000000000034,0.0,0.0,0.49978452852557254,-1.4708234630234074e-11,2025-10-31,False,0.4993144044446092,28100,28100,4.752,4.755,26.723100000000002,84.3000000000032,133615.5,FILLED,267597.92790000007,0,133955.70480000007,28100.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,增加,2025-12-01,4.646,4.687,CLOSE,37.72656000003917,56900,0.0,266728.02656,0.009571647885595613,2528.8217599999625,2642.0000000000246,0.0,0.0,0.99985855794576,-5.874767339264508e-11,2025-11-28,False,0.5061890215554397,28800,28800,4.646,4.649,26.778240000000004,86.40000000000327,133891.2,FILLED,133955.70480000007,28100,37.72656000003917,56900.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,增加,2026-02-02,4.68,4.6,CLOSE,475.22656000003917,58300,0.0,268655.22656000004,-0.023399780286477934,-6437.100000000035,-6427.900000000038,0.0,0.0,0.9982310913281491,3.069544618483633e-12,2026-01-30,False,0.023986528157768496,1400,1400,4.68,4.683,5.0,4.200000000000159,6556.2,FILLED,7036.426560000039,56900,475.22656000003917,58300.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,增加,2026-04-01,4.52,4.534,CLOSE,17.926560000039217,58400,0.0,264803.52656,0.015864617030759698,4135.399999999994,4140.699999999984,0.0,0.0,0.9999323024121585,9.833911462919787e-12,2026-03-31,False,0.0017133145138715472,100,100,4.52,4.523,5.0,0.30000000000001137,452.29999999999995,FILLED,475.22656000003917,58300,17.926560000039217,58400.0,,,
BASE,PRICE_EPS,价格加前瞻EPS,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,276428.23344000004,0,0.0,276428.23344000004,0.0008570388923521133,236.70688000001246,467.2000000000004,0.0,0.0,0.0,1.8701484805205837e-11,2026-08-13,False,0.9993019321587957,-58400,-58400,4.737,4.734,55.293119999999995,175.20000000000664,276465.6,FILLED,17.926560000039217,58400,276428.23344000004,0.0,,,
BASE,PRICE,共同月份价格对照,进入,2023-10-09,3.757,3.754,CLOSE,100366.5773,26500,0.0,199847.5773,-0.0007621134999999946,-152.42269999999553,-79.50000000000301,0.0,0.0,0.4977843681870843,1.6484591469634324e-12,2023-09-28,False,0.4980675,26500,26500,3.757,3.759,19.922700000000003,52.99999999999416,99613.5,FILLED,200000.0,0,100366.5773,26500.0,,,
BASE,PRICE,共同月份价格对照,增加,2023-11-01,3.68,3.642,CLOSE,196.14722000001348,53700,0.0,195771.54722,-0.005895571448452208,-1161.0300799999968,-1086.600000000013,0.0,0.0,0.9989980810654799,1.028865881380625e-11,2023-10-31,False,0.5061000163147498,27500,27200,3.68,3.682,20.030079999999998,54.39999999999401,100150.4,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,100366.5773,26500,196.14722000001348,53700.0,,,
BASE,PRICE,共同月份价格对照,增加,2024-02-01,3.2,3.218,CLOSE,54.04722000001357,54900,0.0,176722.24722000002,-0.0011338275590293545,-200.59999999997672,-193.2000000000005,0.0,0.0,0.9996941685563068,2.3518964553659316e-11,2024-01-31,False,0.021863937396566068,1200,1200,3.2,3.202,5.0,2.3999999999997357,3842.4,FILLED,3901.4472200000137,53700,54.04722000001357,54900.0,,,
BASE,PRICE,共同月份价格对照,退出,2024-03-01,3.501,3.53,CLOSE,192110.7282,0,0.0,192110.7282,-0.0013412730691899633,-258.019020000007,-109.80000000001229,0.0,0.0,0.0,-6.80699940858176e-12,2024-02-29,False,0.9991477784396036,-54900,-54900,3.501,3.499,38.41902,109.7999999999879,192095.1,FILLED,54.04722000001357,54900,192110.7282,0.0,,,
BASE,PRICE,共同月份价格对照,进入,2025-05-06,3.886,3.903,CLOSE,143889.88596,12400,0.0,192287.08596,0.0009180005804589886,176.3577599999844,210.79999999999882,0.0,0.0,0.25169240959877925,-1.7138290786533616e-11,2025-04-30,False,0.25095527174208065,12400,12400,3.886,3.888,9.64224,24.79999999999727,48211.2,FILLED,192110.7282,0,143889.88596,12400.0,,,
BASE,PRICE,共同月份价格对照,退出,2025-06-03,3.946,3.957,CLOSE,192785.70484000002,0,0.0,192785.70484000002,-0.0010145072675032951,-195.78111999999965,-161.19999999999877,0.0,0.0,0.0,1.8971491044794675e-12,2025-05-30,False,0.2536330643661908,-12400,-12400,3.946,3.944,9.78112,24.800000000002775,48905.6,FILLED,143889.88596,12400,192785.70484000002,0.0,,,
BASE,PRICE,共同月份价格对照,进入,2026-02-02,4.68,4.6,CLOSE,97233.39820000003,20400,0.0,191073.39820000003,-0.008881917056148492,-1712.3066399999952,-1632.0000000000014,0.0,0.0,0.49112017101290023,8.44124770082999e-12,2026-01-30,False,0.49554089126725726,20400,20400,4.68,4.683,19.10664,61.20000000000232,95533.2,FILLED,192785.70484000002,0,97233.39820000003,20400.0,,,
BASE,PRICE,共同月份价格对照,增加,2026-04-01,4.52,4.534,CLOSE,421.8397600000317,41800,0.0,189943.03976,0.008840312047744936,1664.4415600000066,1747.9999999999995,0.0,0.0,0.997779124939071,9.464429240324534e-12,2026-03-31,False,0.5109347846863601,21700,21400,4.52,4.523,19.35844,64.20000000000243,96792.2,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,97233.39820000003,20400,421.8397600000317,41800.0,,,
BASE,PRICE,共同月份价格对照,减少,2026-05-06,4.866,4.888,CLOSE,153089.50012000004,10400,0.0,203924.70012000005,0.009203276144200023,1859.660360000038,1984.3999999999946,0.0,0.0,0.24928417190308916,1.9113599591946695e-11,2026-04-30,False,0.7491792792908658,-31400,-31400,4.866,4.863,30.539640000000002,94.19999999997569,152698.2,FILLED,421.8397600000317,41800,153089.50012000004,10400.0,,,
BASE,PRICE,共同月份价格对照,退出,2026-06-01,4.923,4.868,CLOSE,204247.26652000003,0,0.0,204247.26652000003,-0.00020281885378725661,-41.43360000001849,0.0,0.0,0.0,0.0,-1.730171561575844e-11,2026-05-29,False,0.25046906642385847,-10400,-10400,4.923,4.92,10.233600000000001,31.200000000001182,51168.0,FILLED,153089.50012000004,10400,204247.26652000003,0.0,,,
BASE,PRICE,共同月份价格对照,进入,2026-08-03,4.624,4.599,CLOSE,153802.87966000004,10900,0.0,203931.97966000004,-0.0015436527762251462,-315.2868599999929,-272.4999999999942,0.0,0.0,0.24581284447675325,2.5579538487363607e-12,2026-07-31,False,0.2469276620407619,10900,10900,4.624,4.627,10.08686,32.70000000000124,50434.299999999996,FILLED,204247.26652000003,0,153802.87966000004,10900.0,,,
BASE,PRICE,共同月份价格对照,统一终点清算,2026-08-14,4.737,4.737,OPEN_TERMINAL,205393.15954000002,0,0.0,205393.15954000002,0.00021514535924715972,44.179879999981495,87.20000000000007,0.0,0.0,0.0,-1.7337242752546445e-11,2026-08-13,False,0.2511758156980906,-10900,-10900,4.737,4.734,10.320120000000001,32.70000000000124,51600.6,FILLED,153802.87966000004,10900,205393.15954000002,0.0,,,
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2024-05-06,3.64,3.648,CLOSE,14.210840000014286,54900,0.0,200289.41084000003,0.0014470542000000197,289.4108400000259,439.2000000000004,0.0,0.0,0.9999290484707084,1.3443468560581096e-11,2024-04-30,False,0.999729,55500,54900,3.64,3.642,39.98916,109.7999999999879,199945.8,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,200000.0,0,14.210840000014286,54900.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2024-07-01,3.487,3.501,CLOSE,191302.44554000002,0,0.0,191302.44554000002,-0.000773386810776211,-148.06530000001658,0.0,0.0,0.0,0.0,-4.291678123991005e-12,2024-06-28,False,0.9993522564162617,-54900,-54900,3.487,3.485,38.2653,109.80000000001229,191326.5,FILLED,14.210840000014286,54900,191302.44554000002,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2024-08-01,3.502,3.483,CLOSE,646.7220200000156,54400,0.0,190121.92202000003,-0.006170979762792128,-1180.523519999988,-1033.5999999999829,0.0,0.0,0.9965983826950162,7.133849067031406e-12,2024-07-31,False,0.9964200899885683,54400,54400,3.502,3.504,38.123520000000006,108.80000000001218,190617.6,FILLED,191302.44554000002,0,646.7220200000156,54400.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2024-08-02,3.46,3.447,CLOSE,188724.29898000002,0,0.0,188724.29898000002,-0.007351193513880916,-1397.6230400000059,-1251.200000000007,0.0,0.0,0.0,-1.0743406164692715e-11,2024-08-01,False,0.9959997928110849,-54400,-54400,3.46,3.458,37.62304,108.79999999998802,188115.2,FILLED,646.7220200000156,54400,188724.29898000002,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2024-09-02,3.381,3.332,CLOSE,47624.98476000002,41700,0.0,186569.38476000002,-0.01141831884736988,-2154.914220000006,-2043.2999999999972,0.0,0.0,0.744733119952858,5.258016244624741e-13,2024-08-30,False,0.7474983389126271,41700,41700,3.381,3.383,28.21422,83.40000000000933,141071.1,FILLED,188724.29898000002,0,47624.98476000002,41700.0,TARGET_75,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2024-09-03,3.33,3.344,CLOSE,186374.82924000002,0,0.0,186374.82924000002,-0.001042805175405781,-194.55551999999443,-83.39999999999081,0.0,0.0,0.0,-1.2803980098397005e-11,2024-09-02,False,0.7441717412630295,-41700,-41700,3.33,3.3280000000000003,27.755520000000004,83.39999999999081,138777.6,FILLED,47624.98476000002,41700,186374.82924000002,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2024-11-01,3.964,3.979,CLOSE,139963.3488,11700,0.0,186517.64880000002,0.0007663028348967593,142.81956000000355,175.50000000000145,0.0,0.0,0.24959729172824527,4.718003765447065e-12,2024-10-31,False,0.2489724615132798,11700,11700,3.964,3.966,9.28044,23.40000000000262,46402.200000000004,FILLED,186374.82924000002,0,139963.3488,11700.0,TARGET_25,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,增加,2024-12-02,3.997,4.031,CLOSE,93565.67112000001,23300,0.0,187487.97112,0.0038170104871093624,712.9223199999833,745.3999999999903,0.0,0.0,0.5009510713617241,-4.416023102749023e-12,2024-11-29,False,0.24842732847393362,11600,11600,3.997,3.999,9.27768,23.200000000002596,46388.4,FILLED,139963.3488,11700,93565.67112000001,23300.0,TARGET_50,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,增加,2025-02-05,3.93,3.887,CLOSE,45978.955680000014,35400,0.0,183578.75568,-0.005525580879067404,-1020.0154400000174,-986.3000000000022,0.0,0.0,0.7495409776055629,-1.7845280808614916e-11,2025-01-27,False,0.2569869798680851,12100,12100,3.93,3.932,9.51544,24.199999999997335,47577.2,FILLED,93565.67112000001,23300,45978.955680000014,35400.0,TARGET_75,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,增加,2025-03-03,3.995,3.981,CLOSE,4.2625800000168965,46900,0.0,186713.16258,-0.0034872450829268598,-653.3931000000157,-621.2000000000149,0.0,0.0,0.9999771704365075,-3.2862601528904634e-12,2025-02-28,False,0.24527758973064734,11500,11500,3.995,3.997,9.193100000000001,22.999999999997467,45965.5,FILLED,45978.955680000014,35400,4.2625800000168965,46900.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2025-04-01,3.988,3.982,CLOSE,186910.27390000003,0,0.0,186910.27390000003,0.00030190074329272676,56.4113200000138,187.60000000000016,0.0,0.0,0.0,3.311129148642067e-12,2025-03-31,False,0.999475717423039,-46900,-46900,3.988,3.986,37.38868000000001,93.79999999998967,186943.40000000002,FILLED,4.2625800000168965,46900,186910.27390000003,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2025-05-06,3.886,3.903,CLOSE,248.9491000000271,48000,0.0,187592.94910000003,0.0036524220191622714,682.6751999999979,815.9999999999955,0.0,0.0,0.9986729293334616,-8.15703060652595e-12,2025-04-30,False,0.9984683886336115,48300,48000,3.886,3.888,37.3248,95.99999999998943,186624.0,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,186910.27390000003,0,248.9491000000271,48000.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2025-05-07,3.95,3.927,CLOSE,189715.04830000002,0,0.0,189715.04830000002,0.011312254592622084,2122.099199999997,2256.0000000000073,0.0,0.0,0.0,3.979039320256561e-13,2025-05-06,False,0.9981830339244158,-48000,-48000,3.95,3.948,37.900800000000004,96.00000000001074,189504.0,FILLED,248.9491000000271,48000,189715.04830000002,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2025-07-01,3.98,3.988,CLOSE,47529.21682000003,35700,0.0,189900.81682000004,0.0009791976001094493,185.76852000001236,285.60000000000025,0.0,0.0,0.7497155746041302,2.0094148567295633e-11,2025-06-30,False,0.749320632568924,35700,35700,3.98,3.982,28.43148,71.40000000000799,142157.4,FILLED,189715.04830000002,0,47529.21682000003,35700.0,TARGET_75,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,增加,2025-08-01,4.148,4.133,CLOSE,198.35254000003624,47100,0.0,194862.65254000004,-0.005105945103983545,-1000.0642799999914,-956.4000000000051,0.0,0.0,0.9989820905267656,1.4978240869822912e-11,2025-07-31,False,0.2419135963035819,11400,11400,4.148,4.151,9.464279999999999,34.200000000001296,47321.399999999994,FILLED,47529.21682000003,35700,198.35254000003624,47100.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,增加,2026-02-02,4.68,4.6,CLOSE,367.05254000003697,48300,0.0,222547.05254,-0.02340137700063538,-5332.700000000041,-5324.100000000031,0.0,0.0,0.9983506744492423,-9.322320693172514e-12,2026-01-30,False,0.024819400334550122,1200,1200,4.68,4.683,5.0,3.6000000000001364,5619.599999999999,FILLED,5991.652540000036,47100,367.05254000003697,48300.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2026-03-23,4.528,4.43,CLOSE,218880.84104000006,0,0.0,218880.84104000006,-0.011324069822426286,-2507.011499999964,-2318.400000000002,0.0,0.0,0.0,3.694822225952521e-13,2026-03-20,False,0.9976630582946907,-48300,-48300,4.528,4.525,43.71150000000001,144.8999999999626,218557.50000000003,FILLED,367.05254000003697,48300,218880.84104000006,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,15.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2026-04-01,4.52,4.534,CLOSE,376.2488600000506,48300,0.0,219368.44886000003,0.002227731845707126,487.6078199999756,676.2000000000113,0.0,0.0,0.998284854262519,-3.0183855415089056e-11,2026-03-31,False,0.9980814170943206,49000,48300,4.52,4.523,43.69218,144.9000000000055,218460.9,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,218880.84104000006,0,376.2488600000506,48300.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2026-04-02,4.521,4.489,CLOSE,218552.00498000006,0,0.0,218552.00498000006,-0.0037217926472234986,-816.4438799999771,-627.8999999999952,0.0,0.0,0.0,2.361844053666573e-11,2026-04-01,False,0.9976175022751105,-48300,-48300,4.521,4.518,43.64388,144.9000000000055,218219.4,FILLED,376.2488600000506,48300,218552.00498000006,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2026-05-06,4.866,4.888,CLOSE,377.1787400000612,44800,0.0,219359.57874000006,0.003695110278553182,807.5737599999993,985.6000000000108,0.0,0.0,0.998280545840913,-6.423306331271306e-12,2026-04-30,False,0.9980745773527057,45200,44800,4.866,4.869,43.626239999999996,134.4000000000051,218131.19999999998,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,218552.00498000006,0,377.1787400000612,44800.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2026-07-20,4.63,4.65,CLOSE,207625.32082000005,0,0.0,207625.32082000005,0.008064220085826967,1660.942079999979,1836.7999999999768,0.0,0.0,0.0,7.219114195322618e-12,2026-07-17,False,0.9975381335991353,-44800,-44800,4.63,4.627,41.457919999999994,134.4000000000051,207289.59999999998,FILLED,377.1787400000612,44800,207625.32082000005,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,13.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,进入,2026-08-03,4.624,4.599,CLOSE,1682.6405200000445,44500,0.0,206338.14052000004,-0.006199534309767163,-1287.1803000000073,-1112.4999999999764,0.0,0.0,0.9918452278587004,-2.5863755581667647e-11,2026-07-31,False,0.9916974441595469,44500,44500,4.624,4.627,41.1803,133.50000000000506,205901.5,FILLED,207625.32082000005,0,1682.6405200000445,44500.0,TARGET_100,,0.0
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,退出,2026-08-04,4.618,4.651,CLOSE,207009.06702000005,0,0.0,207009.06702000005,0.003251587410399104,670.9265000000014,845.5000000000057,0.0,0.0,0.0,7.673861546209082e-13,2026-08-03,False,0.9912341509424113,-44500,-44500,4.618,4.615,41.0735,133.50000000000506,205367.5,FILLED,1682.6405200000445,44500,207009.06702000005,0.0,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,1.0
