cost_scenario,model,策略,full_pnl_cny,sum_positive_daily_pnl,five_largest_positive_daily_pnl,largest_five_share_of_positive_pnl,post_observation_diagnostic_not_dates_removed
BASE,EPS,原前瞻EPS三因子,94584.92134,542434.1478200002,71090.25928,0.13105786124584176,True
BASE,PRICE_EPS,价格加前瞻EPS,76428.23344000004,476510.6708200003,66011.15202000007,0.13853027028000275,True
BASE,PRICE,共同月份价格对照,5393.159540000022,99827.03955999998,22713.0,0.22752352569113896,True
BASE,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,7009.067020000046,263485.15712000045,25320.20000000001,0.09609725373816141,True
BASE,REVISION_DISTRIBUTION,EPS加利润修正分布,58680.26926,509057.83114000055,62749.12616000004,0.12326522120183796,True
BASE,VALUATION,EPS加研报估值空间,105939.83694000001,543810.28808,71263.47316000002,0.13104473144781043,True
BASE,MATCHED_EPS,估值共同月份EPS对照,104738.55598000006,544017.54724,70996.65928000002,0.13050435531021387,True
BASE,OPTIONAL_VALUATION,原EPS加可选估值修正,96693.61290000001,527247.4644600003,71152.65928000002,0.13495116444585203,True
BASE,BUY_HOLD,买入持有,53251.06424000001,1443492.6642400015,61564.79999999999,0.04264988768225839,True
STRESS,EPS,原前瞻EPS三因子,92156.81192000001,533829.5003600002,70774.03756,0.13257798138220517,True
STRESS,PRICE_EPS,价格加前瞻EPS,75378.27291999996,478178.3077600001,65838.44267999998,0.13768596695324078,True
STRESS,PRICE,共同月份价格对照,5772.1956399999035,97820.2104800001,22803.800000000017,0.23311951475163084,True
STRESS,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,4461.84363999989,260250.48628,25110.699999999983,0.09648665929094064,True
STRESS,REVISION_DISTRIBUTION,EPS加利润修正分布,57207.60639999993,506207.02116000024,62384.367479999986,0.12323884275062583,True
STRESS,VALUATION,EPS加研报估值空间,105151.15252,542497.0333200002,71009.06547999999,0.1308930023919858,True
STRESS,MATCHED_EPS,估值共同月份EPS对照,103957.99299999996,542691.35388,70742.83755999999,0.13035556408669569,True
STRESS,OPTIONAL_VALUATION,原EPS加可选估值修正,94164.75832000002,518789.63596,70836.43756000002,0.1365417360910072,True
STRESS,BUY_HOLD,买入持有,52971.72848000002,1443213.3284800015,61564.79999999999,0.04265814262181205,True
