model,origin,forecast,actual_y60,label_exit_date,training_months,training_mean_y60,trend_above_120_day_mean,calendar_target_roll_month,label_overlap_warning,forecast_error,squared_error,training_mean_squared_error,direction_correct
E1_PRICE_FORWARD_EPS,2023-08-31,-0.007975060107237253,-0.07933627171376723,2023-12-04,12,-0.007408010541072883,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07136121160652997,0.005092422521951948,0.005173674755327328,True
E2_MATCHED_PRICE,2023-08-31,-0.002084325179440765,-0.07933627171376723,2023-12-04,12,-0.007408010541072883,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07725194653432646,0.005967863243342434,0.005173674755327328,True
E3_FORWARD_EPS,2023-08-31,-0.02462376339038417,-0.07933627171376723,2023-12-04,12,-0.007408010541072883,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.054712508323383056,0.00299345856703626,0.005173674755327328,True
E1_PRICE_FORWARD_EPS,2023-09-28,0.007863545455408055,-0.0678733031674209,2024-01-02,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07573684862282896,0.005736070239317309,0.003525280867507531,False
E2_MATCHED_PRICE,2023-09-28,0.008870014855743454,-0.0678733031674209,2024-01-02,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07674331802316436,0.005889536861204544,0.003525280867507531,False
E3_FORWARD_EPS,2023-09-28,-0.01394866530174476,-0.0678733031674209,2024-01-02,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.053924637865676146,0.002907866568944314,0.003525280867507531,True
E1_PRICE_FORWARD_EPS,2023-10-31,0.030581768586962984,-0.09266304347826093,2024-01-25,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.12324481206522392,0.015189283700992363,0.007083547928735923,False
E2_MATCHED_PRICE,2023-10-31,0.0369342444325008,-0.09266304347826093,2024-01-25,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.12959728791076172,0.016795457033824866,0.007083547928735923,False
E3_FORWARD_EPS,2023-10-31,-0.01637923265916595,-0.09266304347826093,2024-01-25,13,-0.008499227448235759,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07628381081909498,0.005819219793083473,0.007083547928735923,True
E1_PRICE_FORWARD_EPS,2023-11-30,0.01714156729012111,0.006458859870822842,2024-03-05,14,-0.014894940893809954,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.01068270741929827,0.00011412023780633029,0.00045598480709563207,True
E2_MATCHED_PRICE,2023-11-30,0.029422960038726596,0.006458859870822842,2024-03-05,14,-0.014894940893809954,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.022964100167903755,0.0005273498965215173,0.00045598480709563207,True
E3_FORWARD_EPS,2023-11-30,-0.02786957713207619,0.006458859870822842,2024-03-05,14,-0.014894940893809954,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.03432843700289903,0.0011784415870620074,0.00045598480709563207,False
E1_PRICE_FORWARD_EPS,2023-12-29,0.02504324580928753,0.039120502569960136,2024-04-03,15,-0.01919102961514044,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.014077256760672605,0.00019816915790590254,0.00340023478577402,True
E2_MATCHED_PRICE,2023-12-29,0.02073757694231349,0.039120502569960136,2024-04-03,15,-0.01919102961514044,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.018382925627646648,0.0003379319546315879,0.00340023478577402,True
E3_FORWARD_EPS,2023-12-29,-0.007345174653946643,0.039120502569960136,2024-04-03,15,-0.01919102961514044,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.04646567722390678,0.0021590591598762894,0.00340023478577402,False
E1_PRICE_FORWARD_EPS,2024-01-31,-0.02774567485787558,0.14468749999999986,2024-05-10,17,-0.026376575933693438,False,True,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.17243317485787543,0.029733199791566644,0.029262918075048387,False
E2_MATCHED_PRICE,2024-01-31,0.027025202710780724,0.14468749999999986,2024-05-10,17,-0.026376575933693438,False,True,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.11766229728921913,0.013844416203376585,0.029262918075048387,True
E3_FORWARD_EPS,2024-01-31,-0.10620909939884446,0.14468749999999986,2024-05-10,17,-0.026376575933693438,False,True,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.25089659939884434,0.06294910358990417,0.029262918075048387,False
E1_PRICE_FORWARD_EPS,2024-02-29,-0.07921252060848852,0.028848900314195847,2024-05-31,17,-0.026376575933693438,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.10806142092268436,0.011677270691829566,0.003049853226806184,False
E2_MATCHED_PRICE,2024-02-29,-0.0362943947436112,0.028848900314195847,2024-05-31,17,-0.026376575933693438,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.06514329505780705,0.004243648890988509,0.003049853226806184,False
E3_FORWARD_EPS,2024-02-29,-0.10461438339823709,0.028848900314195847,2024-05-31,17,-0.026376575933693438,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.13346328371243293,0.017812448099305368,0.003049853226806184,False
E1_PRICE_FORWARD_EPS,2024-03-29,-0.09930705132011702,-0.012994350282485856,2024-07-02,18,-0.024552385055664754,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.08631270103763117,0.007449882360411496,0.00013358816781801257,True
E2_MATCHED_PRICE,2024-03-29,-0.057335218541096446,-0.012994350282485856,2024-07-02,18,-0.024552385055664754,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.04434086825861059,0.00196611259792746,0.00013358816781801257,True
E3_FORWARD_EPS,2024-03-29,-0.1101660303794334,-0.012994350282485856,2024-07-02,18,-0.024552385055664754,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.09717168009694754,0.009442335412863512,0.00013358816781801257,True
E1_PRICE_FORWARD_EPS,2024-04-30,0.03637425630661237,-0.05329670329670333,2024-07-30,19,-0.02120118044378976,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0896709596033157,0.008040880996179476,0.0010301225872018974,False
E2_MATCHED_PRICE,2024-04-30,-0.07570287732385442,-0.05329670329670333,2024-07-30,19,-0.02120118044378976,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.022406174027151088,0.00050203663453498,0.0010301225872018974,True
