cost_scenario,period,model,策略,days,start,end,mean_overnight_weight,mean_intraday_weight,diagnostic_window_only_not_new_goal_evaluation,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,mean_size_annual_arithmetic,mean_size_cumulative_cny,time_variation_annual_arithmetic,time_variation_cumulative_cny,dividend_entitlement_annual_arithmetic,dividend_entitlement_cumulative_cny,cost_annual_arithmetic,cost_cumulative_cny,net_annual_arithmetic,net_cumulative_cny
BASE,FULL_EVALUATION,EPS,原前瞻EPS三因子,1604,2020-01-02,2026-08-14,0.2955641247589512,0.2954672503807186,False,0.4729246066999963,0.06016599149265778,0.06364376040215372,0.10282158820621541,0.6189727421299115,-0.1237698051689185,1604,0.2955641247589512,10,277.97866,780.4999999999861,False,5.638867150992155e-11,0.016697069544747874,20115.230673316713,0.04759739227966935,75528.16932668329,0.0,0.0,-0.0006507014222631243,-1058.4786599999861,0.0636437604021541,94584.92134
BASE,AFTER_FIRST_EPS_MODEL,EPS,原前瞻EPS三因子,714,2023-09-01,2026-08-14,0.6639843923156271,0.663766764160606,True,0.4729246066999963,0.14025598458147034,0.142975618606519,0.15401998974823106,0.9282926121488143,-0.1237698051689185,714,0.6639843923156271,10,277.97866,780.499999999986,False,5.638867150992155e-11,0.07382271147822084,47025.13305322129,0.07061470696206656,48618.26694677871,0.0,0.0,-0.0014617998337675788,-1058.4786599999861,0.14297561860651986,94584.92134000003
BASE,FULL_EVALUATION,PRICE_EPS,价格加前瞻EPS,1604,2020-01-02,2026-08-14,0.3077321794012923,0.3076048715830531,False,0.3821411672000017,0.05003925955671771,0.05410802959628851,0.10359803066557463,0.5222882061431741,-0.21954392162001507,1604,0.3077321794012923,16,393.76656,1160.6999999999698,False,5.874767339264508e-11,0.017381017428450066,19299.96483790524,0.03778184145516546,58682.735162094774,0.0,0.0,-0.0010548292873272058,-1554.4665599999698,0.054108029596288326,76428.23344000003
BASE,AFTER_FIRST_EPS_MODEL,PRICE_EPS,价格加前瞻EPS,714,2023-09-01,2026-08-14,0.6913199100275531,0.691033913192181,True,0.3821411672000017,0.11593322797639088,0.12155361270650807,0.15522725750753974,0.7830687384308386,-0.21954392162001507,714,0.6913199100275531,16,393.76656,1160.6999999999698,False,5.874767339264508e-11,0.07685000018658682,45119.21484593839,0.047073285036549437,32863.48515406162,0.0,0.0,-0.002369672516628625,-1554.4665599999698,0.12155361270650762,76428.23344000001
BASE,FULL_EVALUATION,PRICE,共同月份价格对照,1604,2020-01-02,2026-08-14,0.08627826519844742,0.08623634205682336,False,0.02696579770000059,0.004022587552824964,0.004849248605852124,0.04095323882069154,0.1184094041275693,-0.12592647128720041,1604,0.08627826519844742,12,202.44046000000003,585.39999999996,False,3.467448550509289e-11,0.004872268305459114,4867.882294264337,0.0005824096341993058,1313.1177057356626,0.0,0.0,-0.0006054293338063655,-787.8404599999599,0.004849248605852052,5393.159540000043
BASE,AFTER_FIRST_EPS_MODEL,PRICE,共同月份价格对照,714,2023-09-01,2026-08-14,0.19382400193040566,0.1937298216514631,True,0.02696579770000059,0.009059400563131889,0.010893830201382081,0.06140370235264531,0.17741324682375229,-0.12592647128720041,714,0.19382400193040566,12,202.44046000000003,585.39999999996,False,3.467448550509289e-11,0.021543476870441506,11380.073949579835,-0.009289550518603822,-5199.073949579834,0.0,0.0,-0.0013600961504557567,-787.8404599999599,0.010893830201381917,5393.159540000041
BASE,FULL_EVALUATION,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,1604,2020-01-02,2026-08-14,0.20225295035178617,0.20213416648120133,False,0.035045335100001844,0.0052103756214331495,0.0074246613045445735,0.0667326370162703,0.1112598218280261,-0.11177553150600575,1604,0.20225295035178617,23,701.1329800000001,2063.299999999994,False,5.275069270282984e-11,0.011418862531616277,10954.781795511222,-0.0019127132833648092,-1181.2817955111486,0.0,0.0,-0.0020814879437071167,-2764.4329799999937,0.007424661304544352,7009.067020000075
BASE,AFTER_FIRST_EPS_MODEL,DAILY_TREND_EXIT,原EPS加期限与每日趋势退出,714,2023-09-01,2026-08-14,0.45436096969785017,0.4540941218989453,True,0.035045335100001844,0.011743128506325485,0.016679491221974083,0.1000567583700246,0.16670029584899074,-0.11177553150600575,714,0.45436096969785017,23,701.1329800000001,2063.2999999999934,False,5.275069270282984e-11,0.05049284108763634,25609.95098039216,-0.029137290115373936,-15836.450980392097,0.0,0.0,-0.004676059750288817,-2764.4329799999937,0.016679491221973586,7009.06702000006
BASE,FULL_EVALUATION,REVISION_DISTRIBUTION,EPS加利润修正分布,1604,2020-01-02,2026-08-14,0.3360179008532026,0.33589963357478614,False,0.29340134629999987,0.0395790506984238,0.04451699413174668,0.10744429784117475,0.4143262604549955,-0.21930548273830194,1604,0.33601790085320266,15,326.63074,920.0000000000061,False,5.093170329928398e-11,0.0189813307718716,20216.644887780556,0.026438516101686925,39710.25511221946,0.0,0.0,-0.0009028527418117891,-1246.6307400000062,0.04451699413174673,58680.26926
BASE,AFTER_FIRST_EPS_MODEL,REVISION_DISTRIBUTION,EPS加利润修正分布,714,2023-09-01,2026-08-14,0.7548637436534132,0.754598056378091,True,0.29340134629999987,0.09111466559239152,0.10000736496823766,0.1610323597621428,0.6210389335159482,-0.21930548273830194,714,0.7548637436534132,15,326.63074000000006,920.0000000000061,False,5.093170329928398e-11,0.08392314074725761,47262.217927170874,0.018112481640960704,12664.68207282914,0.0,0.0,-0.002028257419980546,-1246.6307400000064,0.10000736496823776,58680.269260000015
