cost_scenario,period,left,right,days,mean_size,time_variation,dividend_entitlement,cost,net
BASE,FULL_EVALUATION,EPS,BUY_HOLD,1604,-0.037121567391858866,0.04932442360895713,0.0,-0.0003971702992989253,0.011805685917799335
BASE,FULL_EVALUATION,PRICE_EPS,EPS,1604,0.0006839478837022,-0.009815550824503885,0.0,-0.0004041278650640816,-0.009535730805865771
BASE,FULL_EVALUATION,PRICE_EPS,PRICE,1604,0.01250874912299096,0.037199431820966154,0.0,-0.0004493999535208406,0.04925878099043627
BASE,FULL_EVALUATION,DAILY_TREND_EXIT,EPS,1604,-0.005278207013131596,-0.04951010556303416,0.0,-0.0014307865214439927,-0.056219099097609734
BASE,FULL_EVALUATION,REVISION_DISTRIBUTION,EPS,1604,0.0022842612271237288,-0.021158876177982438,0.0,-0.00025215131954866486,-0.019126766270407367
BASE,FULL_EVALUATION,VALUATION,MATCHED_EPS,1604,-0.00018394610086494358,0.0007485072188006495,0.0,-6.555036568205927e-07,0.0005639056142788851
BASE,FULL_EVALUATION,OPTIONAL_VALUATION,EPS,1604,-0.0009293973857897218,0.0018866681892381215,0.0,-0.00016063538423457895,0.0007966354192138223
BASE,AFTER_FIRST_EPS_MODEL,EPS,BUY_HOLD,714,-0.028667103770367765,0.07268752956094435,0.0,-0.0012059454264362506,0.04281448036414031
BASE,AFTER_FIRST_EPS_MODEL,PRICE_EPS,EPS,714,0.003027288708365998,-0.02354142192551713,0.0,-0.0009078726828610464,-0.021422005900012166
BASE,AFTER_FIRST_EPS_MODEL,PRICE_EPS,PRICE,714,0.05530652331614532,0.05636283555515329,0.0,-0.0010095763661728688,0.11065978250512572
BASE,AFTER_FIRST_EPS_MODEL,DAILY_TREND_EXIT,EPS,714,-0.023329870390584498,-0.09975199707744052,0.0,-0.0032142599165212384,-0.12629612738454626
BASE,AFTER_FIRST_EPS_MODEL,REVISION_DISTRIBUTION,EPS,714,0.010100429269036766,-0.052502225321105885,0.0,-0.0005664575862129669,-0.04296825363828208
BASE,AFTER_FIRST_EPS_MODEL,VALUATION,MATCHED_EPS,714,-0.0008135964340368523,0.0020818821947775636,0.0,-1.4725880469751132e-06,0.0012668131726937333
BASE,AFTER_FIRST_EPS_MODEL,OPTIONAL_VALUATION,EPS,714,-0.0041102622020256045,0.006260769721257026,0.0,-0.00036086716570345184,0.0017896403535279796
STRESS,FULL_EVALUATION,EPS,BUY_HOLD,1604,-0.03732001522623654,0.04877001472435588,0.0,-0.0007898088264677767,0.010660190671651568
STRESS,FULL_EVALUATION,PRICE_EPS,EPS,1604,0.0010489088538318933,-0.009210197915021087,0.0,-0.0006066691856466685,-0.008767958246835864
STRESS,FULL_EVALUATION,PRICE_EPS,PRICE,1604,0.0128576309824692,0.03632536731303138,0.0,-0.0007118902093040288,0.04847110808619655
STRESS,FULL_EVALUATION,DAILY_TREND_EXIT,EPS,1604,-0.005119153099099089,-0.048983703625576296,0.0,-0.002689758852377774,-0.05679261557705317
STRESS,FULL_EVALUATION,REVISION_DISTRIBUTION,EPS,1604,0.002441398471409145,-0.020677776903330156,0.0,-0.0004712468305658146,-0.018707625262486823
STRESS,FULL_EVALUATION,VALUATION,MATCHED_EPS,1604,-0.00018246414485400013,0.0007456695507511955,0.0,-1.353979097753514e-06,0.0005618514267994374
STRESS,FULL_EVALUATION,OPTIONAL_VALUATION,EPS,1604,-0.0009241668548766141,0.0018982958806593477,0.0,-0.0002184220438077317,0.0007557069819749992
STRESS,AFTER_FIRST_EPS_MODEL,EPS,BUY_HOLD,714,-0.029459754737771713,0.0718117011400835,0.0,-0.002319753442092868,0.040032192960218906
STRESS,AFTER_FIRST_EPS_MODEL,PRICE_EPS,EPS,714,0.004641083888724292,-0.022975408334308965,0.0,-0.0013628814758785105,-0.019697205921463186
STRESS,AFTER_FIRST_EPS_MODEL,PRICE_EPS,PRICE,714,0.056848896545930026,0.05364064024116093,0.0,-0.0015992603581563894,0.10889027642893458
STRESS,AFTER_FIRST_EPS_MODEL,DAILY_TREND_EXIT,EPS,714,-0.0226264181352268,-0.09891557372244732,0.0,-0.006042539494697408,-0.12758453135237152
STRESS,AFTER_FIRST_EPS_MODEL,REVISION_DISTRIBUTION,EPS,714,0.010795226235282045,-0.051763224841446326,0.0,-0.0010586553448565358,-0.04202665395102081
STRESS,AFTER_FIRST_EPS_MODEL,VALUATION,MATCHED_EPS,714,-0.0008070533555976659,0.0020722935111426102,0.0,-3.041712146774e-06,0.0012621984433981788
STRESS,AFTER_FIRST_EPS_MODEL,OPTIONAL_VALUATION,EPS,714,-0.004087145829995941,0.006275525322090497,0.0,-0.0004906848155008428,0.0016976946765937138
