period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,90,90,1256,0.7801810772665531,0,346,1227,31
evaluation,STRESS,90,90,1256,0.7804329693671452,0,346,1227,31
earlier_diagnostic,BASE,89,89,917,0.7502930104004695,0,301,918,0
earlier_diagnostic,STRESS,89,89,917,0.7503337539176199,0,301,918,0
