period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,held_closes,mean_held_closes,additional_buys,initial_target,last_decision_target
evaluation,BASE,90,33,57,-7922.705179999824,-2098.1999999999534,21101.1,6667.705180000001,20257.899999999867,1256,13.955555555555556,0,1.0,1.0
evaluation,STRESS,90,31,59,-30692.580039999913,-2890.0000000000146,19643.9,12570.38004,34876.099999999904,1256,13.955555555555556,0,1.0,1.0
earlier_diagnostic,BASE,89,44,45,77590.99229999994,101963.79999999984,11542.099999999999,9122.4077,26792.499999999898,917,10.303370786516854,0,1.0,1.0
earlier_diagnostic,STRESS,89,43,46,43061.485440000055,97650.59999999989,10722.8,17045.51456,48266.39999999983,917,10.303370786516854,0,1.0,1.0
