period,source_state,target,decision_origins
evaluation,MISSING_PAIR,,31
evaluation,VIEW,0.0,346
evaluation,VIEW,1.0,1227
earlier_diagnostic,VIEW,0.0,301
earlier_diagnostic,VIEW,1.0,918
