period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,-91056.28088000024,-85758.6000000001,12063.5,4289.980880000001,13071.200000000083,-6.184563972055912e-11
evaluation,BASE,PANIC_LEARNED_HALF,-67502.25646000009,-62501.80000000012,16805.1,5391.856460000001,16413.699999999957,-1.0913936421275139e-11
evaluation,BASE,BUY_HOLD,-61173.76941999997,-31961.000000000135,-2663.300000000003,6581.969420000001,19967.499999999858,2.9103830456733704e-11
evaluation,STRESS,REARM_RIDGE,-104523.2307599998,-85338.00000000006,10770.300000000003,7898.03076,22057.49999999986,1.1641532182693481e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-85465.80651999969,-62879.10000000008,15390.300000000003,10042.40652,27934.599999999875,2.582964953035116e-10
evaluation,STRESS,BUY_HOLD,-83664.30851999967,-32752.800000000094,-4120.5,12398.90852,34392.099999999904,3.2014213502407074e-10
earlier_diagnostic,BASE,REARM_RIDGE,-25971.899079999945,-3276.300000000163,9603.099999999999,8197.999080000001,24100.699999999928,1.4915713109076023e-10
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,31658.239760000026,54079.499999999854,10565.599999999999,8395.960240000002,24590.899999999932,1.0550138540565968e-10
earlier_diagnostic,BASE,BUY_HOLD,35128.79806000003,76202.79999999983,-5521.0999999999985,9037.401940000002,26515.499999999905,1.0913936421275139e-10
earlier_diagnostic,STRESS,REARM_RIDGE,-56262.075719999935,-6808.800000000119,8783.8,15210.775720000003,43026.29999999982,7.275957614183426e-12
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,7.763560000137659,49979.09999999989,9746.3,15600.636440000004,44116.999999999825,7.275957614183426e-11
earlier_diagnostic,STRESS,BUY_HOLD,905.8969600001001,71889.59999999986,-6340.399999999998,16875.503040000003,47767.799999999836,7.275957614183426e-11
