period,cost,decision_origins,valid_origins,missing_pair_origins,stale_origins,all_decisions_at_execution_morning_0900,future_source_rows_used
evaluation,BASE,1604,1573,31,0,True,0
evaluation,STRESS,1604,1573,31,0,True,0
earlier_diagnostic,BASE,1219,1219,0,0,True,0
earlier_diagnostic,STRESS,1219,1219,0,0,True,0
