period,cost,origin,execution_date,shares_before,filled_quantity,shares_after,terminal
evaluation,BASE,2022-05-30,2022-05-31,46200,0,46200,False
evaluation,BASE,2022-06-20,2022-06-21,43700,0,43700,False
evaluation,BASE,2022-07-04,2022-07-05,44100,0,44100,False
evaluation,BASE,2022-09-05,2022-09-06,44500,0,44500,False
evaluation,BASE,2022-11-24,2022-11-25,44000,0,44000,False
evaluation,BASE,2023-01-16,2023-01-17,42100,0,42100,False
evaluation,BASE,2023-02-20,2023-02-21,43600,0,43600,False
evaluation,BASE,2023-05-29,2023-05-30,43500,0,43500,False
evaluation,BASE,2023-06-19,2023-06-20,43000,0,43000,False
evaluation,BASE,2023-07-04,2023-07-05,43000,0,43000,False
evaluation,BASE,2023-09-04,2023-09-05,43100,0,43100,False
evaluation,BASE,2023-11-23,2023-11-24,42600,0,42600,False
evaluation,BASE,2024-01-15,2024-01-16,42900,0,42900,False
evaluation,BASE,2024-02-19,2024-02-20,43700,0,43700,False
evaluation,BASE,2024-05-27,2024-05-28,42000,0,42000,False
evaluation,BASE,2024-06-19,2024-06-20,42300,0,42300,False
evaluation,BASE,2024-07-04,2024-07-05,42300,0,42300,False
evaluation,BASE,2024-09-02,2024-09-03,43300,0,43300,False
evaluation,BASE,2024-11-28,2024-11-29,42500,0,42500,False
evaluation,BASE,2025-01-09,2025-01-10,42500,0,42500,False
evaluation,BASE,2025-01-20,2025-01-21,42500,0,42500,False
evaluation,BASE,2025-02-17,2025-02-18,42500,0,42500,False
evaluation,BASE,2025-05-26,2025-05-27,42200,0,42200,False
evaluation,BASE,2025-06-19,2025-06-20,42200,0,42200,False
evaluation,BASE,2025-07-04,2025-07-07,42200,0,42200,False
evaluation,BASE,2025-09-01,2025-09-02,42200,0,42200,False
evaluation,BASE,2025-11-27,2025-11-28,41800,0,41800,False
evaluation,BASE,2026-01-19,2026-01-20,41800,0,41800,False
evaluation,BASE,2026-05-25,2026-05-26,42200,0,42200,False
evaluation,BASE,2026-06-18,2026-06-22,0,0,0,False
evaluation,BASE,2026-07-03,2026-07-06,40500,0,40500,False
evaluation,STRESS,2022-05-30,2022-05-31,44400,0,44400,False
evaluation,STRESS,2022-06-20,2022-06-21,41800,0,41800,False
evaluation,STRESS,2022-07-04,2022-07-05,42200,0,42200,False
evaluation,STRESS,2022-09-05,2022-09-06,42400,0,42400,False
evaluation,STRESS,2022-11-24,2022-11-25,41800,0,41800,False
evaluation,STRESS,2023-01-16,2023-01-17,39800,0,39800,False
evaluation,STRESS,2023-02-20,2023-02-21,41200,0,41200,False
evaluation,STRESS,2023-05-29,2023-05-30,40900,0,40900,False
evaluation,STRESS,2023-06-19,2023-06-20,40400,0,40400,False
evaluation,STRESS,2023-07-04,2023-07-05,40400,0,40400,False
evaluation,STRESS,2023-09-04,2023-09-05,40500,0,40500,False
evaluation,STRESS,2023-11-23,2023-11-24,39700,0,39700,False
evaluation,STRESS,2024-01-15,2024-01-16,39800,0,39800,False
evaluation,STRESS,2024-02-19,2024-02-20,40400,0,40400,False
evaluation,STRESS,2024-05-27,2024-05-28,38400,0,38400,False
evaluation,STRESS,2024-06-19,2024-06-20,38600,0,38600,False
evaluation,STRESS,2024-07-04,2024-07-05,38600,0,38600,False
evaluation,STRESS,2024-09-02,2024-09-03,39300,0,39300,False
evaluation,STRESS,2024-11-28,2024-11-29,38400,0,38400,False
evaluation,STRESS,2025-01-09,2025-01-10,38300,0,38300,False
evaluation,STRESS,2025-01-20,2025-01-21,38300,0,38300,False
evaluation,STRESS,2025-02-17,2025-02-18,38300,0,38300,False
evaluation,STRESS,2025-05-26,2025-05-27,37800,0,37800,False
evaluation,STRESS,2025-06-19,2025-06-20,37800,0,37800,False
evaluation,STRESS,2025-07-04,2025-07-07,37800,0,37800,False
evaluation,STRESS,2025-09-01,2025-09-02,37800,0,37800,False
evaluation,STRESS,2025-11-27,2025-11-28,37300,0,37300,False
evaluation,STRESS,2026-01-19,2026-01-20,37300,0,37300,False
evaluation,STRESS,2026-05-25,2026-05-26,37300,0,37300,False
evaluation,STRESS,2026-06-18,2026-06-22,0,0,0,False
evaluation,STRESS,2026-07-03,2026-07-06,35700,0,35700,False
