period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,source_target_changes
evaluation,ENTRY_SHARES_PRESERVATION,BASE,1604,436,1168,0,0
evaluation,ENTRY_SHARES_PRESERVATION,STRESS,1604,436,1168,0,0
earlier_diagnostic,ENTRY_SHARES_PRESERVATION,BASE,1219,446,773,0,0
earlier_diagnostic,ENTRY_SHARES_PRESERVATION,STRESS,1219,452,767,0,0
