period,cost,candidate_cycles,different_preparing_events,positive_cycles,mean_holding_intervals
evaluation,BASE,16,15,5,13.9375
evaluation,STRESS,16,15,5,13.9375
earlier_diagnostic,BASE,8,8,7,25.0
earlier_diagnostic,STRESS,8,8,6,25.0
