period,cost,all_factor_rows,decision_origins,correlation_max_error,raw_dividend_return_and_share_volume_reconstructed,independent_scipy_pearson_coefficient,full_direction_and_separate_confirmation_counters_equal
evaluation,BASE,3456,1604,4.440892098500626e-16,True,True,True
evaluation,STRESS,3456,1604,4.440892098500626e-16,True,True,True
earlier_diagnostic,BASE,1852,1219,4.440892098500626e-16,True,True,True
earlier_diagnostic,STRESS,1852,1219,4.440892098500626e-16,True,True,True
