period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,correlation_exit_confirmation_origins,momentum_exit_confirmation_origins,risk_capped_origins,full_target_origins
evaluation,PRICE_VOLUME_COHERENCE,BASE,1604,519,1085,0,35,33,61,468,51
evaluation,PRICE_VOLUME_COHERENCE,STRESS,1604,519,1085,0,35,33,61,468,51
earlier_diagnostic,PRICE_VOLUME_COHERENCE,BASE,1219,472,747,0,39,20,41,364,108
earlier_diagnostic,PRICE_VOLUME_COHERENCE,STRESS,1219,472,747,0,39,20,41,364,108
