report_id,ts_code,report_internal_date,original_snapshot_million_shares,original_snapshot_raw,daily_share_basis_admitted,original_pdf_path,financial_period,financial_available_at,balance_ann_date,balance_f_ann_date,financial_total_shares,difference_shares,difference_ratio,status,not_proof_no_intervening_share_changes
AP201703060387623074,300014.SZ,2017-03-05,427,总股本/流通(百万股) 427/410,False,data/raw/510300_forward_eps_csi_originals_v1/AP201703060387623074.pdf,2016-12-31,2017-02-28,2017-02-28,2017-02-28,427104310.0,-104310.0,-0.0002442260533498386,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201703270442096940,000400.SZ,2017-03-26,1008,"总股本/流通(百万股) 1,008/737",False,data/raw/510300_forward_eps_csi_originals_v1/AP201703270442096940.pdf,2016-12-31,2017-03-25,2017-03-25,2017-03-25,1008327309.0,-327309.0,-0.00032460590631488984,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201706090635701473,600406.SH,2017-06-08,2429,"总股本/流通(百万股) 2,429/2,206",False,data/raw/510300_forward_eps_csi_originals_v1/AP201706090635701473.pdf,2017-03-31,2017-04-29,2017-04-29,2017-04-29,2428953351.0,46649.0,1.9205391483145817e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201707210734493267,600754.SH,2017-07-21,958,总股本/流通(百万股) 958/447,False,data/raw/510300_forward_eps_csi_originals_v1/AP201707210734493267.pdf,2017-03-31,2017-04-29,2017-04-29,2017-04-29,957936440.0,63560.0,6.635095748097619e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201707310758431496,600406.SH,2017-07-30,2429,"总股本/流通(百万股) 2,429/2,206",False,data/raw/510300_forward_eps_csi_originals_v1/AP201707310758431496.pdf,2017-06-30,2017-07-29,2017-07-29,2017-07-29,2428953351.0,46649.0,1.9205391483145817e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201708080781736048,600867.SH,2017-08-08,1706,"总股本/流通(百万股) 1,706/1,636",False,data/raw/510300_forward_eps_csi_originals_v1/AP201708080781736048.pdf,2017-03-31,2017-04-27,2017-04-27,2017-04-27,1421933481.0,284066519.0,0.19977482969191018,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP201708250827807891,300124.SZ,2017-08-25,1665,"总股本/流通(百万股) 1,665/1,284",False,data/raw/510300_forward_eps_csi_originals_v1/AP201708250827807891.pdf,2017-03-31,2017-04-25,2017-04-25,2017-04-25,1665111931.0,-111931.0,-6.722130681791061e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201708300838254362,002074.SZ,2017-08-30,878,总股本/流通(百万股) 878/472,False,data/raw/510300_forward_eps_csi_originals_v1/AP201708300838254362.pdf,2017-03-31,2017-04-26,2017-04-26,2017-04-26,877600000.0,400000.0,0.00045578851412941823,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201708310841943276,002027.SZ,2017-08-31,12232,"总股本/流通(百万股) 12,232/5,804",False,data/raw/510300_forward_eps_csi_originals_v1/AP201708310841943276.pdf,2017-06-30,2017-08-30,2017-08-30,2017-08-30,8736833500.0,3495166500.0,0.4000495717355721,DIFFERENCE_REQUIRES_CORPORATE_ACTION_OR_SOURCE_EXPLANATION,True
AP201710170957538618,300124.SZ,2017-10-16,1665,"总股本/流通(百万股) 1,665/1,284",False,data/raw/510300_forward_eps_csi_originals_v1/AP201710170957538618.pdf,2017-06-30,2017-08-25,2017-08-25,2017-08-25,1665111931.0,-111931.0,-6.722130681791061e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201710300990343237,600406.SH,2017-10-29,2429,"总股本/流通(百万股) 2,429/2,206",False,data/raw/510300_forward_eps_csi_originals_v1/AP201710300990343237.pdf,2017-09-30,2017-10-28,2017-10-28,2017-10-28,2428953351.0,46649.0,1.9205391483145817e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201711010995276702,601607.SH,2017-10-31,2689,"总股本/流通(百万股) 2,689/1,923",False,data/raw/510300_forward_eps_csi_originals_v1/AP201711010995276702.pdf,2017-06-30,2017-08-29,2017-08-29,2017-08-29,2688910538.0,89462.0,3.327072386216656e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201711010995930869,601088.SH,2017-11-01,19890,"总股本/流通(百万股) 19,890/16,491",False,data/raw/510300_forward_eps_csi_originals_v1/AP201711010995930869.pdf,2017-09-30,2017-10-28,2017-10-28,2017-10-28,19890000000.0,0.0,0.0,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201711201052894114,600438.SH,2017-11-20,3882,"总股本/流通(百万股) 3,882/2,284",False,data/raw/510300_forward_eps_csi_originals_v1/AP201711201052894114.pdf,2017-09-30,2017-10-23,2017-10-23,2017-10-23,3882372220.0,-372220.0,-9.587437239599872e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201801091075431016,600438.SH,2018-01-09,3882,"总股本/流通(百万股) 3,882/2,782",False,data/raw/510300_forward_eps_csi_originals_v1/AP201801091075431016.pdf,2017-09-30,2017-10-23,2017-10-23,2017-10-23,3882372220.0,-372220.0,-9.587437239599872e-05,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201805071138405278,601799.SH,2018-05-02,276,总股本/流通(百万股) 276/276,False,data/raw/510300_forward_eps_csi_originals_v1/AP201805071138405278.pdf,2018-03-31,2018-04-28,2018-04-28,2018-04-28,276155232.0,-155232.0,-0.0005621186275406309,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
AP201805081139237789,601360.SH,2018-05-03,6764,"总股本/流通(百万股) 6,764/397",False,data/raw/510300_forward_eps_csi_originals_v1/AP201805081139237789.pdf,2018-03-31,2018-04-27,2018-04-27,2018-04-27,6764055000.0,-55000.0,-8.131217147155922e-06,WITHIN_ONE_MILLION_SHARE_DISPLAY_HALF_UNIT,True
