period,cost,model,holding_decision_rows,cusum_available_rows,cusum_no_view_rows,cusum_alarm_rows,cycles_with_cusum_alarm,exits_with_cusum_reason,exits_with_learned_reason,completed_round_trips,positive_cycles,mean_holding_intervals
evaluation,BASE,RIDGE_CUSUM_EXIT,252,252,0,0,0,0,23,24,14,10.5
evaluation,STRESS,RIDGE_CUSUM_EXIT,252,252,0,0,0,0,23,24,14,10.5
earlier_diagnostic,BASE,RIDGE_CUSUM_EXIT,299,299,0,2,2,2,2,9,5,33.22222222222222
earlier_diagnostic,STRESS,RIDGE_CUSUM_EXIT,299,299,0,2,2,2,2,9,5,33.22222222222222
