period,cost,cycle_id,replayed_closes,maximum_statistic_error,maximum_cusum,alarmed
evaluation,BASE,1,18,2.6645352591003757e-15,1.781591487376748,False
evaluation,BASE,2,10,4.440892098500626e-15,1.8451296118143365,False
evaluation,BASE,3,17,2.220446049250313e-15,1.951378452997071,False
evaluation,BASE,4,12,7.993605777301127e-15,1.6963660656109436,False
evaluation,BASE,5,12,8.881784197001252e-15,4.740011201170235,False
evaluation,BASE,6,30,7.327471962526033e-15,2.0056354845074105,False
evaluation,BASE,7,16,5.773159728050814e-15,0.632446962902492,False
evaluation,BASE,8,10,1.0325074129013956e-14,0.6092086827496226,False
evaluation,BASE,9,6,0.0,0.0,False
evaluation,BASE,10,2,0.0,0.0,False
evaluation,BASE,11,12,2.220446049250313e-15,1.4417913780968181,False
evaluation,BASE,12,4,0.0,0.0,False
evaluation,BASE,13,22,8.881784197001252e-16,0.6606350854992593,False
evaluation,BASE,14,2,6.661338147750939e-16,1.067209080402641,False
evaluation,BASE,15,11,2.6645352591003757e-15,2.042751846998479,False
evaluation,BASE,16,3,0.0,0.0,False
evaluation,BASE,17,9,0.0,0.0,False
evaluation,BASE,18,11,1.5543122344752192e-15,0.0744206855866052,False
evaluation,BASE,19,18,2.4424906541753444e-15,0.3163835048714232,False
evaluation,BASE,20,2,0.0,0.0,False
evaluation,BASE,21,3,7.549516567451064e-15,1.9347085804374524,False
evaluation,BASE,22,11,4.440892098500626e-15,1.6320217232048462,False
evaluation,BASE,23,6,2.6645352591003757e-15,1.3619596724406373,False
evaluation,BASE,24,5,0.0,0.0,False
evaluation,STRESS,1,18,2.6645352591003757e-15,1.781591487376748,False
evaluation,STRESS,2,10,4.440892098500626e-15,1.8451296118143365,False
evaluation,STRESS,3,17,2.220446049250313e-15,1.951378452997071,False
evaluation,STRESS,4,12,7.993605777301127e-15,1.6963660656109436,False
evaluation,STRESS,5,12,8.881784197001252e-15,4.740011201170235,False
evaluation,STRESS,6,30,7.327471962526033e-15,2.0056354845074105,False
evaluation,STRESS,7,16,5.773159728050814e-15,0.632446962902492,False
evaluation,STRESS,8,10,1.0325074129013956e-14,0.6092086827496226,False
evaluation,STRESS,9,6,0.0,0.0,False
evaluation,STRESS,10,2,0.0,0.0,False
evaluation,STRESS,11,12,2.220446049250313e-15,1.4417913780968181,False
evaluation,STRESS,12,4,0.0,0.0,False
evaluation,STRESS,13,22,8.881784197001252e-16,0.6606350854992593,False
evaluation,STRESS,14,2,6.661338147750939e-16,1.067209080402641,False
evaluation,STRESS,15,11,2.6645352591003757e-15,2.042751846998479,False
evaluation,STRESS,16,3,0.0,0.0,False
evaluation,STRESS,17,9,0.0,0.0,False
evaluation,STRESS,18,11,1.5543122344752192e-15,0.0744206855866052,False
evaluation,STRESS,19,18,2.4424906541753444e-15,0.3163835048714232,False
evaluation,STRESS,20,2,0.0,0.0,False
evaluation,STRESS,21,3,7.549516567451064e-15,1.9347085804374524,False
evaluation,STRESS,22,11,4.440892098500626e-15,1.6320217232048462,False
evaluation,STRESS,23,6,2.6645352591003757e-15,1.3619596724406373,False
evaluation,STRESS,24,5,0.0,0.0,False
earlier_diagnostic,BASE,1,11,1.3322676295501878e-15,5.4729217713705145,True
earlier_diagnostic,BASE,2,60,4.440892098500626e-16,1.6469627272828142,False
earlier_diagnostic,BASE,3,13,7.105427357601002e-15,6.547558099400616,True
earlier_diagnostic,BASE,4,60,2.220446049250313e-16,0.7452654454281351,False
earlier_diagnostic,BASE,5,60,4.9960036108132044e-15,1.9765671688202868,False
earlier_diagnostic,BASE,6,60,2.7533531010703882e-14,2.6304320634559506,False
earlier_diagnostic,BASE,7,4,4.440892098500626e-15,3.0292761366667804,False
earlier_diagnostic,BASE,8,7,4.440892098500626e-15,2.5559700321845478,False
earlier_diagnostic,BASE,9,24,7.771561172376096e-16,0.08890645154016186,False
earlier_diagnostic,STRESS,1,11,1.3322676295501878e-15,5.4729217713705145,True
earlier_diagnostic,STRESS,2,60,4.440892098500626e-16,1.6469627272828142,False
earlier_diagnostic,STRESS,3,13,7.105427357601002e-15,6.547558099400616,True
earlier_diagnostic,STRESS,4,60,2.220446049250313e-16,0.7452654454281351,False
earlier_diagnostic,STRESS,5,60,4.9960036108132044e-15,1.9765671688202868,False
earlier_diagnostic,STRESS,6,60,2.7533531010703882e-14,2.6304320634559506,False
earlier_diagnostic,STRESS,7,4,4.440892098500626e-15,3.0292761366667804,False
earlier_diagnostic,STRESS,8,7,4.440892098500626e-15,2.5559700321845478,False
earlier_diagnostic,STRESS,9,24,7.771561172376096e-16,0.08890645154016186,False
