period,cost,model,net_sharpe,days
evaluation,BASE,RIDGE_CUSUM_EXIT,0.7048682574353758,1604
evaluation,BASE,REARM_RIDGE,0.7048682574353758,1604
evaluation,BASE,REARM_NONE,0.3344007774561813,1604
evaluation,BASE,PANIC_LEARNED_HALF,0.944390709635229,1604
evaluation,BASE,BUY_HOLD,0.28789939065519343,1604
evaluation,STRESS,RIDGE_CUSUM_EXIT,0.6411361272639541,1604
evaluation,STRESS,REARM_RIDGE,0.6411361272639541,1604
evaluation,STRESS,REARM_NONE,0.31079439465304476,1604
evaluation,STRESS,PANIC_LEARNED_HALF,0.8790034689617331,1604
evaluation,STRESS,BUY_HOLD,0.28690843031022767,1604
earlier_diagnostic,BASE,RIDGE_CUSUM_EXIT,0.747697665787205,1219
earlier_diagnostic,BASE,REARM_RIDGE,0.747697665787205,1219
earlier_diagnostic,BASE,REARM_NONE,0.6420133294714869,1219
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,0.6044206723945715,1219
earlier_diagnostic,BASE,BUY_HOLD,0.27872198615255206,1219
earlier_diagnostic,STRESS,RIDGE_CUSUM_EXIT,0.724697402620827,1219
earlier_diagnostic,STRESS,REARM_RIDGE,0.724697402620827,1219
earlier_diagnostic,STRESS,REARM_NONE,0.6205724010735365,1219
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,0.5721130310404378,1219
earlier_diagnostic,STRESS,BUY_HOLD,0.2777077741807245,1219
