period,cost,cycle_id,entry_close,baseline_start,baseline_end,baseline_mean,baseline_sigma,first_status,maximum_cusum
evaluation,BASE,1,2020-02-05,2019-11-04,2020-02-04,-0.0008320988436153645,0.014750264196614626,固定入场前基准；买入当天不累积未完整持有的全天收益,1.781591487376748
evaluation,BASE,2,2020-07-01,2020-03-31,2020-06-30,0.002178858561947664,0.008612472403604162,固定入场前基准；买入当天不累积未完整持有的全天收益,1.8451296118143365
evaluation,BASE,3,2020-08-19,2020-05-25,2020-08-18,0.004069221205967963,0.016816933532683244,固定入场前基准；买入当天不累积未完整持有的全天收益,1.951378452997071
evaluation,BASE,4,2021-01-05,2020-10-12,2021-01-04,0.0019712547129061785,0.009787946318954509,固定入场前基准；买入当天不累积未完整持有的全天收益,1.6963660656109436
evaluation,BASE,5,2021-02-03,2020-11-10,2021-02-02,0.001618229266190673,0.011319886278808828,固定入场前基准；买入当天不累积未完整持有的全天收益,4.740011201170235
evaluation,BASE,6,2021-06-08,2021-03-10,2021-06-07,0.0010066687403966202,0.011258638409420624,固定入场前基准；买入当天不累积未完整持有的全天收益,2.0056354845074105
evaluation,BASE,7,2021-10-29,2021-07-28,2021-10-28,0.00047827289457038496,0.009719499072154568,固定入场前基准；买入当天不累积未完整持有的全天收益,0.632446962902492
evaluation,BASE,8,2021-11-25,2021-08-24,2021-11-24,0.0003097106557456855,0.007917922149949184,固定入场前基准；买入当天不累积未完整持有的全天收益,0.6092086827496226
evaluation,BASE,9,2022-05-13,2022-02-11,2022-05-12,-0.002650333814024002,0.017105920895821608,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,10,2022-06-08,2022-03-08,2022-06-07,-0.0006411046804632666,0.017052030564990092,固定入场前基准；买入当天不累积未完整持有的全天收益,0.0
evaluation,BASE,11,2022-08-10,2022-05-17,2022-08-09,0.0010621906291756085,0.010025974822860538,固定入场前基准；买入当天不累积未完整持有的全天收益,1.4417913780968181
