period,source_model,cycle,exit_date,maturity_date,dividend_events,independent_cycle_return,saved_cycle_return,delayed_after_exit
evaluation,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0,0.07232148712209582,0.0723214871220958,False
evaluation,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0,0.1494208079625125,0.1494208079625125,False
evaluation,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,0,-0.0367192652318099,-0.0367192652318099,False
evaluation,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0,0.05949347320618536,0.0594934732061853,False
evaluation,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0,0.044176348567199625,0.0441763485671996,False
evaluation,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,0,-0.022449543017392794,-0.0224495430173927,False
evaluation,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0,0.038956019485617284,0.0389560194856172,False
evaluation,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0,0.023267662291741185,0.0232676622917412,False
evaluation,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0,0.008852875128584488,0.0088528751285844,False
evaluation,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,0,-0.008959466529206867,-0.0089594665292068,False
evaluation,TREND_NOISE_REFERENCE_BLEND,11,2024-02-23,2024-02-23,0,0.028320816879278135,0.0283208168792781,False
evaluation,TREND_NOISE_REFERENCE_BLEND,12,2024-07-18,2024-07-18,0,-0.008944088377951442,-0.0089440883779514,False
evaluation,TREND_NOISE_REFERENCE_BLEND,13,2024-08-06,2024-08-06,0,-0.010794374920509834,-0.0107943749205098,False
evaluation,TREND_NOISE_REFERENCE_BLEND,14,2024-09-12,2024-09-12,0,-0.03449067007476317,-0.0344906700747631,False
evaluation,TREND_NOISE_REFERENCE_BLEND,15,2024-09-30,2024-09-30,0,0.14649061021367785,0.1464906102136778,False
evaluation,TREND_NOISE_REFERENCE_BLEND,16,2025-04-23,2025-04-23,0,0.04086876805364976,0.0408687680536496,False
evaluation,TREND_NOISE_REFERENCE_BLEND,17,2025-06-20,2025-06-20,1,-0.006663753719538469,-0.0066637537195385,False
evaluation,TREND_NOISE_REFERENCE_BLEND,18,2025-06-26,2025-06-26,0,0.013197108117692655,0.0131971081176926,False
evaluation,TREND_NOISE_REFERENCE_BLEND,19,2026-02-04,2026-02-04,1,0.028010636446798423,0.0280106364467984,False
evaluation,TREND_NOISE_REFERENCE_BLEND,20,2026-05-18,2026-05-18,0,-0.001077917233037461,-0.0010779172330374,False
evaluation,TREND_NOISE_REFERENCE_BLEND,21,2026-06-23,2026-06-23,0,0.02332888266771718,0.0233288826677171,False
evaluation,TREND_NOISE_REFERENCE_BLEND,22,2026-07-31,2026-07-31,0,-0.02132518859426755,-0.0213251885942675,False
evaluation,TREND_NOISE_REFERENCE_BLEND,23,2026-08-14,2026-08-14,0,0.004906939614412924,0.0049069396144129,False
evaluation,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0,0.007793235783345038,0.007793235783345,False
evaluation,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,1,0.09409376309544779,0.0940937630954477,False
evaluation,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,1,0.0329968887087236,0.0329968887087236,False
evaluation,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0,0.01469688167493487,0.0146968816749349,False
evaluation,RETURN_RUNS_STATE,5,2024-05-24,2024-05-24,0,0.01973692218976796,0.0197369221897679,False
evaluation,RETURN_RUNS_STATE,6,2024-10-22,2024-10-22,0,-0.06777035451118732,-0.0677703545111873,False
evaluation,RETURN_RUNS_STATE,7,2025-07-29,2025-07-29,0,0.05293545499316973,0.0529354549931697,False
evaluation,RETURN_RUNS_STATE,8,2025-09-15,2025-09-15,0,0.036863411059086,0.036863411059086,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,1,2015-01-20,2015-01-20,1,-0.06962640150611105,-0.0696264015061111,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,2,2015-05-15,2015-05-15,0,0.34186553802469244,0.3418655380246924,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,3,2015-06-23,2015-06-23,0,-0.10619205873886281,-0.1061920587388628,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,4,2015-12-29,2015-12-29,0,0.1050526109091831,0.1050526109091831,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,5,2016-07-28,2016-07-28,0,0.011260524736195399,0.0112605247361953,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,6,2017-08-14,2017-08-14,0,0.07993491732827804,0.079934917328278,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,7,2018-03-06,2018-03-06,0,0.030207890547432656,0.0302078905474326,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,8,2018-10-19,2018-10-19,0,-0.0785775979132531,-0.0785775979132531,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,9,2019-03-06,2019-03-06,0,0.03663239022040309,0.036632390220403,False
earlier_diagnostic,TREND_NOISE_REFERENCE_BLEND,10,2019-06-25,2019-06-25,0,0.05382653787561562,0.0538265378756156,False
earlier_diagnostic,RETURN_RUNS_STATE,1,2015-04-13,2015-04-13,1,0.18276244838951383,0.1827624483895137,False
earlier_diagnostic,RETURN_RUNS_STATE,2,2016-10-10,2016-10-10,0,-0.01882010873854811,-0.018820108738548,False
earlier_diagnostic,RETURN_RUNS_STATE,3,2017-02-27,2017-02-27,0,0.014825388759389251,0.0148253887593892,False
earlier_diagnostic,RETURN_RUNS_STATE,4,2017-12-28,2017-12-28,0,0.019582980765092323,0.0195829807650923,False
earlier_diagnostic,RETURN_RUNS_STATE,5,2018-01-22,2018-01-22,0,0.013690312242447784,0.0136903122424477,False
earlier_diagnostic,RETURN_RUNS_STATE,6,2018-10-10,2018-10-10,0,-0.037390331435111696,-0.0373903314351117,False
earlier_diagnostic,RETURN_RUNS_STATE,7,2019-09-27,2019-09-27,0,0.004716969257331814,0.0047169692573317,False
earlier_diagnostic,RETURN_RUNS_STATE,8,2019-12-09,2019-12-09,0,0.0020199515207999976,0.0020199515207999,False
earlier_diagnostic,RETURN_RUNS_STATE,9,2019-12-31,2019-12-31,0,0.013812403396097971,0.0138124033960979,False
