period,source_model,cost,cycle,entry_date,exit_date,maturity_date,dividend_events,complete_information,buy_debit,net_profit,cycle_net_return,terminal_exit
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,1,2020-02-05,2020-03-02,2020-03-02,0,True,122312.25756,8845.804360000007,0.0723214871220958,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,2,2020-07-01,2020-07-07,2020-07-07,0,True,120696.1344,18034.51392,0.1494208079625125,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,3,2020-08-19,2020-09-30,2020-09-30,0,True,108157.6272,-3971.468600000017,-0.0367192652318099,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,4,2021-01-05,2021-01-14,2021-01-14,0,True,75083.41368,4466.973060000011,0.0594934732061853,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,5,2021-02-03,2021-02-19,2021-02-19,0,True,42312.26076,1869.2011800000028,0.0441763485671996,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,6,2021-06-08,2021-07-21,2021-07-21,0,True,13764.2,-308.9999999999979,-0.0224495430173927,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,7,2021-07-29,2021-08-11,2021-08-11,0,True,228478.88664,8900.627959999983,0.0389560194856172,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,8,2021-10-29,2021-12-13,2021-12-13,0,True,67610.61942,1573.1410600000056,0.0232676622917412,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,9,2022-05-13,2022-06-10,2022-06-10,0,True,94547.10564,837.0137200000061,0.0088528751285844,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,10,2022-08-10,2022-09-02,2022-09-02,0,True,80752.1472,-723.496159999986,-0.0089594665292068,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,11,2024-02-19,2024-02-23,2024-02-23,0,True,76650.52704,2170.805539999997,0.0283208168792781,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,12,2024-06-18,2024-07-18,2024-07-18,0,True,136030.50066000002,-1216.6688200000222,-0.0089440883779514,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,13,2024-08-02,2024-08-06,2024-08-06,0,True,76179.2328,-822.3072000000001,-0.0107943749205098,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,14,2024-08-28,2024-09-12,2024-09-12,0,True,76222.44144,-2628.963079999996,-0.0344906700747631,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,15,2024-09-25,2024-09-30,2024-09-30,0,True,76817.3604,11253.022000000014,0.1464906102136778,False
evaluation,TREND_NOISE_REFERENCE_BLEND,BASE,16,2025-04-09,2025-04-23,2025-04-23,0,True,248104.611,10139.729799999985,0.0408687680536496,False
