period,origin,status,reference_count,runs_count,independent_budget_reference,independent_budget_runs,saved_budget_reference,saved_budget_runs,budget_absolute_error
evaluation,2019-12-31,INITIAL_HALF,0,0,0.5,0.5,0.5,0.5,0.0
evaluation,2020-01-02,INSUFFICIENT_MATURE_CYCLES,0,0,0.5,0.5,0.5,0.5,0.0
evaluation,2020-02-03,INSUFFICIENT_MATURE_CYCLES,0,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-03-02,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-04-01,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-05-06,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-06-01,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-07-01,INSUFFICIENT_MATURE_CYCLES,1,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-08-03,INSUFFICIENT_MATURE_CYCLES,2,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-09-01,INSUFFICIENT_MATURE_CYCLES,2,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-10-09,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-11-02,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
evaluation,2020-12-01,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
evaluation,2021-01-04,INSUFFICIENT_MATURE_CYCLES,3,1,0.5,0.5,0.5,0.5,0.0
evaluation,2021-02-01,INSUFFICIENT_MATURE_CYCLES,4,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-03-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-04-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-05-06,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-06-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-07-01,INSUFFICIENT_MATURE_CYCLES,5,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-08-02,INSUFFICIENT_MATURE_CYCLES,6,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-09-01,INSUFFICIENT_MATURE_CYCLES,7,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-10-08,INSUFFICIENT_MATURE_CYCLES,7,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-11-01,INSUFFICIENT_MATURE_CYCLES,7,2,0.5,0.5,0.5,0.5,0.0
evaluation,2021-12-01,INSUFFICIENT_MATURE_CYCLES,7,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-01-04,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-02-07,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-03-01,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-04-01,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-05-05,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-06-01,INSUFFICIENT_MATURE_CYCLES,8,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-07-01,INSUFFICIENT_MATURE_CYCLES,9,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-08-01,INSUFFICIENT_MATURE_CYCLES,9,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-09-01,INSUFFICIENT_MATURE_CYCLES,9,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-10-10,INSUFFICIENT_MATURE_CYCLES,10,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-11-01,INSUFFICIENT_MATURE_CYCLES,10,2,0.5,0.5,0.5,0.5,0.0
evaluation,2022-12-01,INSUFFICIENT_MATURE_CYCLES,10,2,0.5,0.5,0.5,0.5,0.0
evaluation,2023-01-03,INSUFFICIENT_MATURE_CYCLES,10,2,0.5,0.5,0.5,0.5,0.0
evaluation,2023-02-01,INSUFFICIENT_MATURE_CYCLES,10,3,0.5,0.5,0.5,0.5,0.0
evaluation,2023-03-01,INSUFFICIENT_MATURE_CYCLES,10,3,0.5,0.5,0.5,0.5,0.0
evaluation,2023-04-03,INSUFFICIENT_MATURE_CYCLES,10,3,0.5,0.5,0.5,0.5,0.0
evaluation,2023-05-04,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-06-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-07-03,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-08-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-09-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-10-09,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-11-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2023-12-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-01-02,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-02-01,INSUFFICIENT_MATURE_CYCLES,10,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-03-01,INSUFFICIENT_MATURE_CYCLES,11,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-04-01,INSUFFICIENT_MATURE_CYCLES,11,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-05-06,INSUFFICIENT_MATURE_CYCLES,11,4,0.5,0.5,0.5,0.5,0.0
evaluation,2024-06-03,UPDATED_POSITIVE_EFFICIENCY,11,5,0.4198131441516821,0.5801868558483179,0.4198131441516822,0.5801868558483178,1.1102230246251565e-16
evaluation,2024-07-01,UPDATED_POSITIVE_EFFICIENCY,11,5,0.4198131441516821,0.5801868558483179,0.4198131441516822,0.5801868558483178,1.1102230246251565e-16
evaluation,2024-08-01,UPDATED_POSITIVE_EFFICIENCY,12,5,0.40928596835293884,0.5907140316470612,0.4092859683529389,0.590714031647061,1.1102230246251565e-16
